METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,WETLAND_MANAGED,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,WETLAND_MANAGED,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,WETLAND_MANAGED,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,WETLAND_MANAGED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,WETLAND_MANAGED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,WETLAND_MANAGED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,WETLAND_MANAGED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,WETLAND_MANAGED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,WETLAND_MANAGED,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RIPARIAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RIPARIAN,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RIPARIAN,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RIPARIAN,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,RIPARIAN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,RIPARIAN,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,RIPARIAN,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,RIPARIAN,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,RIPARIAN,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,ORCHARD_DECIDUOUS,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,ORCHARD_DECIDUOUS,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,ORCHARD_DECIDUOUS,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,ORCHARD_CITRUS&SUBTROPICAL,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,ORCHARD_CITRUS&SUBTROPICAL,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,ORCHARD_CITRUS&SUBTROPICAL,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,ORCHARD_CITRUS&SUBTROPICAL,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,ORCHARD_CITRUS&SUBTROPICAL,0,NA,NA,NA,ranking
