CLASS,CLASS_AREA,SUBCLASS,SUBCLASS_AREA,SUBCLASS_PROP
FIELD,7964.759359127458,BEANS (DRY),2024.3778301303466,0.2541668541197606
FIELD,7964.759359127458,MISCELLANEOUS FIELD,251.7150174925531,0.031603593547881975
FIELD,7964.759359127458,SAFFLOWER,4825.305365348758,0.6058319087593089
FIELD,7964.759359127458,SUNFLOWERS,863.361146155801,0.10839764357304857
FIELD_CORN,34678.84712333792,"CORN, SORGHUM, OR SUDAN",34678.84712333792,1
GRAIN&HAY,7866.788538201375,MISCELLANEOUS GRAIN AND HAY,7866.788538201375,1
GRAIN&HAY_WHEAT,11561.802557401152,WHEAT,11561.802557401152,1
IDLE,26609.310000038833,IDLE,26609.310000038833,1
ORCHARD_CITRUS&SUBTROPICAL,639.8735836955395,MISCELLANEOUS SUBTROPICAL FRUIT,18.18358486246943,0.0284174645208067
ORCHARD_CITRUS&SUBTROPICAL,639.8735836955395,OLIVES,621.6899988330701,0.9715825354791934
ORCHARD_DECIDUOUS,15670.572605054685,ALMONDS,8052.1537577694035,0.5138391532146125
ORCHARD_DECIDUOUS,15670.572605054685,APPLES,156.15193352765803,0.009964660351804235
ORCHARD_DECIDUOUS,15670.572605054685,MISCELLANEOUS DECIDUOUS,1840.9962237464745,0.11748110743270762
ORCHARD_DECIDUOUS,15670.572605054685,PEARS,2224.3721574258957,0.14194581228693612
ORCHARD_DECIDUOUS,15670.572605054685,POMEGRANATES,3.2184144455140804,2.0537950505241599e-4
ORCHARD_DECIDUOUS,15670.572605054685,STONE FRUIT,1324.7349220601398,0.08453647198780946
ORCHARD_DECIDUOUS,15670.572605054685,WALNUTS,2068.9451960796,0.1320274152210777
PASTURE,25493.51021963209,MISCELLANEOUS GRASSES,2259.8664479954064,0.08864477384738977
PASTURE,25493.51021963209,MIXED PASTURE,23233.643771636685,0.9113552261526102
PASTURE_ALFALFA,18787.04088930409,ALFALFA & ALFALFA MIXTURES,18787.04088930409,1
RICE,2663.4264942663626,RICE,2304.5055346710537,0.8652408991320133
RICE,2663.4264942663626,WILD RICE,358.920959595309,0.1347591008679867
ROW,16819.094288195163,BUSH BERRIES,687.6680193499379,0.040886150441084824
ROW,16819.094288195163,CARROTS,502.40160416577453,0.02987090716997738
ROW,16819.094288195163,COLE CROPS (MIXTURE OF 22-25),40.30360455464106,0.0023963005298643816
ROW,16819.094288195163,"MELONS, SQUASH, AND CUCUMBERS (ALL TYPES)",2579.183283409931,0.15334852395828386
ROW,16819.094288195163,MISCELLANEOUS TRUCK,797.3454466177341,0.04740715718428238
ROW,16819.094288195163,ONIONS & GARLIC,625.1274500074617,0.03716772373683764
ROW,16819.094288195163,"PEPPERS (CHILI, BELL, ETC)",189.04428787207345,0.011239861352389123
ROW,16819.094288195163,POTATO OR SWEET POTATO,1444.3910020391058,0.08587804891806107
ROW,16819.094288195163,STRAWBERRIES,3.4054538743771383,2.024754612837463e-4
ROW,16819.094288195163,TOMATOES (PROCESSING),9950.224136304127,0.5916028512479357
URBAN,36784.52999989493,URBAN,36784.52999989493,1
VINEYARD,16192.802764144786,VINEYARD,16192.802764144786,1
BARREN,190.53000000000594,BARREN,190.53000000000594,1
GRASSLAND,20491.74000002894,GRASSLAND,20491.74000002894,1
RIPARIAN,8354.339999998101,RIPARIAN,8354.339999998101,1
WATER,26771.40000003916,WATER,26771.40000003916,1
WETLAND_MANAGED,6009.120000004161,WETLAND_MANAGED,6009.120000004161,1
WETLAND_OTHER,10498.140000012849,WETLAND_OTHER,10498.140000012849,1
WETLAND_TIDAL,3558.87000000163,WETLAND_TIDAL,3558.87000000163,1
WOODLAND&SCRUB,1003.050000000111,WOODLAND&SCRUB,1003.050000000111,1
