METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT
economy,livelihoods,Agricultural Jobs,FIELD_CORN,0.0024409219407038134,2.2833241654319982e-4,8.920758122743682e-4,0.003927496688741722,number of employees per ha
economy,livelihoods,Agricultural Jobs,FIELD_OTHER,5.747606936795885e-4,7.40336150950513e-5,4.560334827313472e-4,7.886329787234041e-4,number of employees per ha
economy,livelihoods,Agricultural Jobs,GRAIN&HAY_OTHER,0.0039506997467660485,5.513717044380068e-4,0.003399328042328042,0.004502071451204056,number of employees per ha
economy,livelihoods,Agricultural Jobs,GRAIN&HAY_WHEAT,0.001967880365152875,3.57258631427393e-4,0.0013131183574879228,0.0036698762376237625,number of employees per ha
economy,livelihoods,Agricultural Jobs,ORCHARD_DECIDUOUS,0.05098351830054537,0.007932300491896178,0.011353817759421786,0.15402208672086723,number of employees per ha
economy,livelihoods,Agricultural Jobs,RICE,0.014404298868204869,0.0018066363707172242,0.003365788876276958,0.026173115264797507,number of employees per ha
economy,livelihoods,Agricultural Jobs,ROW,0.049696455553818734,0.0033294730163744304,0.026177066061323858,0.07060975814063238,number of employees per ha
economy,livelihoods,Agricultural Jobs,VINEYARD,0.02269056648746179,0.002259764552414,0.0049421000000000005,0.044478899999999995,number of employees per ha
economy,livelihoods,Annual Wages,FIELD_CORN,37394.93255977689,1490.3331045427178,26408.93442622951,46930.6,annual dollars per employee
economy,livelihoods,Annual Wages,FIELD_OTHER,37965.04495614035,1692.413670145488,32951.26315789474,40313.5,annual dollars per employee
economy,livelihoods,Annual Wages,GRAIN&HAY_OTHER,37421.58277591973,3289.852006688965,34131.730769230766,40711.434782608696,annual dollars per employee
economy,livelihoods,Annual Wages,GRAIN&HAY_WHEAT,40985.301165501165,1474.8488412900667,35943.333333333336,46645.8,annual dollars per employee
economy,livelihoods,Annual Wages,ORCHARD_DECIDUOUS,36508.89484346645,961.8956600014571,20975.964285714286,46150.803636363635,annual dollars per employee
economy,livelihoods,Annual Wages,RICE,39062.4739007644,2013.83613106825,29101.2,49331.22556390977,annual dollars per employee
economy,livelihoods,Annual Wages,ROW,37081.76093191373,2051.770126373111,27333.246913580246,53562.51386321626,annual dollars per employee
economy,livelihoods,Annual Wages,VINEYARD,36390.96978233102,1255.9914721629225,22391.833333333332,58651.25,annual dollars per employee
economy,livelihoods,Agricultural Jobs,ORCHARD_CITRUS&SUBTROPICAL,0.05098351830054537,0.007932300491896178,0.011353817759421786,0.15402208672086723,number of employees per ha
economy,livelihoods,Annual Wages,ORCHARD_CITRUS&SUBTROPICAL,36508.89484346645,961.8956600014571,20975.964285714286,46150.803636363635,annual dollars per employee
economy,livelihoods,Agricultural Jobs,PASTURE_ALFALFA,0.006340739337371615,0.00062298051766420965,0.0028930593026215323,0.011929206896551725,number of employees per ha
economy,livelihoods,Annual Wages,PASTURE_ALFALFA,41925.075148210955,1968.9476498135668,26015.71186440678,55362.27350427351,annual dollars per employee
