METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,UNIT,SCORE_MEAN
water quality,N loading,N loading,FIELD_CORN,kg per ha,320
water quality,N loading,N loading,FIELD_OTHER,kg per ha,223
water quality,N loading,N loading,ORCHARD_CITRUS&SUBTROPICAL,kg per ha,28.78491152303906
water quality,N loading,N loading,ORCHARD_DECIDUOUS,kg per ha,98.70826686312864
water quality,N loading,N loading,RICE,kg per ha,19
water quality,N loading,N loading,ROW,kg per ha,84
water quality,N loading,N loading,VINEYARD,kg per ha,39
water quality,N loading,N loading,GRAIN&HAY_WHEAT,kg per ha,195
water quality,N loading,N loading,GRAIN&HAY_OTHER,kg per ha,195
water quality,N loading,N loading,PASTURE_ALFALFA,kg per ha,30
water quality,N loading,N loading,PASTURE_OTHER,kg per ha,30
water quality,N loading,N loading,URBAN,kg per ha,20
water quality,N loading,N loading,GRASSLAND,kg per ha,0
water quality,N loading,N loading,RIPARIAN,kg per ha,0
water quality,N loading,N loading,RIPARIAN_FOREST_POFR,kg per ha,0
water quality,N loading,N loading,RIPARIAN_FOREST_QULO,kg per ha,0
water quality,N loading,N loading,RIPARIAN_FOREST_SALIX,kg per ha,0
water quality,N loading,N loading,RIPARIAN_FOREST_MIXED,kg per ha,0
water quality,N loading,N loading,RIPARIAN_SCRUB_INTRO,kg per ha,0
water quality,N loading,N loading,RIPARIAN_SCRUB_SALIX,kg per ha,0
water quality,N loading,N loading,RIPARIAN_SCRUB_MIXED,kg per ha,0
water quality,N loading,N loading,WETLAND_MANAGED,kg per ha,0
water quality,N loading,N loading,WETLAND_MANAGED_PERENNIAL,kg per ha,0
water quality,N loading,N loading,WETLAND_MANAGED_SEASONAL,kg per ha,0
water quality,N loading,N loading,WETLAND_TIDAL,kg per ha,0
water quality,N loading,N loading,WETLAND_OTHER,kg per ha,0
water quality,N loading,N loading,WOODLAND,kg per ha,0
water quality,N loading,N loading,SCRUB,kg per ha,0
water quality,N loading,N loading,BARREN,kg per ha,0
water quality,N loading,N loading,WATER,kg per ha,0
water quality,N loading,N loading,IDLE,kg per ha,0
