Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2017 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,36000 ,60.00 ,Tons ,2160000
2017 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,61200 ,84.93 ,Tons ,5198000
2017 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,429000 ,68.00 ,Tons ,29172000
2017 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,55300 ,72.93 ,Tons ,4033000
2017 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,341000 ,79.22 ,Tons ,27014000
2017 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,61000 ,68.26 ,Tons ,4164000
2017 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,294000 ,67.93 ,Tons ,19972000
2017 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,198000 ,65.49 ,Tons ,12968000
2017 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,151000 ,69.89 ,Tons ,10553000
2017 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,424000 ,65.00 ,Tons ,27560000
2017 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,9660 ,100.00 ,Tons ,966000
2017 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,137000 ,72.00 ,Tons ,9864000
2017 ,268099 ,ALMOND HULLS ,113 ,Yolo ,  ,  ,36000 ,100.00 ,Tons ,3600000
2017 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,1190 ,59.66 ,Tons ,71000
2017 ,268099 ,ALMOND HULLS ,991 ,Sum of Others ,  ,  ,26700 ,53.86 ,Tons ,1438000
2017 ,268099 ,ALMOND HULLS , 999, State Total,  ,  ,2261050 ,70.20 ,    ,158733000
2017 ,261999 ,ALMONDS ALL ,7 ,Butte ,39600 ,0.75 ,29700 ,4653.03 ,Tons ,138195000
2017 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,50 ,  ,  ,  ,Tons ,20900
2017 ,261999 ,ALMONDS ALL ,11 ,Colusa ,61200 ,1.05 ,64200 ,4785.64 ,Tons ,307238000
2017 ,261999 ,ALMONDS ALL ,19 ,Fresno ,228000 ,1.13 ,258000 ,4526.00 ,Tons ,1167708000
2017 ,261999 ,ALMONDS ALL ,21 ,Glenn ,52600 ,0.84 ,44200 ,4912.22 ,Tons ,217120000
2017 ,261999 ,ALMONDS ALL ,29 ,Kern ,214000 ,1.23 ,264000 ,4676.98 ,Tons ,1234724000
2017 ,261999 ,ALMONDS ALL ,31 ,Kings ,27500 ,1.11 ,30500 ,4707.08 ,Tons ,143566000
2017 ,261999 ,ALMONDS ALL ,39 ,Madera ,135000 ,1.11 ,150000 ,4690.31 ,Tons ,703546000
2017 ,261999 ,ALMONDS ALL ,47 ,Merced ,109000 ,1.12 ,122000 ,4885.86 ,Tons ,596075000
2017 ,261999 ,ALMONDS ALL ,67 ,Sacramento ,275 ,0.40 ,110 ,4700.00 ,Tons ,517000
2017 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,74200 ,1.02 ,75400 ,4810.62 ,Tons ,362721000
2017 ,261999 ,ALMONDS ALL ,95 ,Solano ,17800 ,0.50 ,8970 ,4305.35 ,Tons ,38619000
2017 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,188000 ,1.13 ,212000 ,4848.00 ,Tons ,1027776000
2017 ,261999 ,ALMONDS ALL ,101 ,Sutter ,12300 ,0.63 ,7730 ,4693.14 ,Tons ,36278000
2017 ,261999 ,ALMONDS ALL ,103 ,Tehama ,11600 ,0.93 ,10800 ,4938.98 ,Tons ,53341000
2017 ,261999 ,ALMONDS ALL ,107 ,Tulare ,67400 ,1.02 ,68700 ,4640.00 ,Tons ,318768000
2017 ,261999 ,ALMONDS ALL ,113 ,Yolo ,30000 ,0.90 ,27000 ,4260.00 ,Tons ,115020000
2017 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1590 ,0.60 ,952 ,5797.27 ,Tons ,5519000
2017 ,261999 ,ALMONDS ALL ,991 ,Sum of Others ,3403 ,0.81 ,2742 ,7999.87 ,Tons ,21935640
2017 ,261999 ,ALMONDS ALL , 999, State Total,1273518 ,1.08 ,1377004 ,4712.16 ,    ,6488687540
2017 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,797 ,19.70 ,15700 ,1140.00 ,Tons ,17898000
2017 ,333999 ,ANISE (FENNEL) ,991 ,Sum of Others ,150 ,13.07 ,1960 ,587.24 ,Tons ,1151000
2017 ,333999 ,ANISE (FENNEL) , 999, State Total,947 ,18.65 ,17660 ,1078.65 ,    ,19049000
2017 ,483999 ,APIARY PRODUCTS BEES PACKAGED ,11 ,Colusa ,  ,  ,2500 ,80.00 ,Lbs ,200000
2017 ,483999 ,APIARY PRODUCTS BEES PACKAGED ,21 ,Glenn ,  ,  ,144000 ,27.44 ,Lbs ,3952000
