Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2018 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,32000 ,98.13 ,Tons ,3140000
2018 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,65900 ,84.96 ,Tons ,5599000
2018 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,543000 ,109.00 ,Tons ,59187000
2018 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,58400 ,94.98 ,Tons ,5547000
2018 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,309000 ,118.59 ,Tons ,36644000
2018 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,63900 ,95.20 ,Tons ,6083000
2018 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,287000 ,83.90 ,Tons ,24080000
2018 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,175000 ,66.79 ,Tons ,11689000
2018 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,219000 ,89.97 ,Tons ,19704000
2018 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,452000 ,96.50 ,Tons ,43618000
2018 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,9120 ,100.00 ,Tons ,912000
2018 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,137000 ,72.00 ,Tons ,9864000
2018 ,268099 ,ALMOND HULLS ,113 ,Yolo ,  ,  ,40300 ,100.00 ,Tons ,4030000
2018 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,1910 ,60.21 ,Tons ,115000
2018 ,268099 ,ALMOND HULLS ,991 ,Sum of Others ,12400 ,1.60 ,19780 ,91.81 ,Tons ,1816000
2018 ,268099 ,ALMOND HULLS , 999, State Totals,12400 ,1.60 ,2413310 ,96.15 ,    ,232028000
2018 ,261999 ,ALMONDS ALL ,7 ,Butte ,40400 ,0.80 ,32300 ,4812.32 ,Tons ,155438000
2018 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,50 ,1.00 ,50 ,4360.00 ,Tons ,218000
2018 ,261999 ,ALMONDS ALL ,11 ,Colusa ,65900 ,1.10 ,72500 ,4494.33 ,Tons ,325839000
2018 ,261999 ,ALMONDS ALL ,19 ,Fresno ,250000 ,0.96 ,240000 ,4626.00 ,Tons ,1110240000
2018 ,261999 ,ALMONDS ALL ,21 ,Glenn ,55000 ,0.85 ,46700 ,4819.83 ,Tons ,225086000
2018 ,261999 ,ALMONDS ALL ,29 ,Kern ,223000 ,1.15 ,256000 ,4689.51 ,Tons ,1200514000
2018 ,261999 ,ALMONDS ALL ,31 ,Kings ,29900 ,1.07 ,31900 ,4736.83 ,Tons ,151105000
2018 ,261999 ,ALMONDS ALL ,39 ,Madera ,142000 ,1.03 ,146000 ,4839.60 ,Tons ,706582000
2018 ,261999 ,ALMONDS ALL ,47 ,Merced ,102000 ,0.90 ,91400 ,4959.61 ,Tons ,453308000
2018 ,261999 ,ALMONDS ALL ,61 ,Placer ,22 ,0.09 ,2 ,5450.00 ,Tons ,10900
2018 ,261999 ,ALMONDS ALL ,67 ,Sacramento ,413 ,0.60 ,248 ,4544.35 ,Tons ,1127000
2018 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,87300 ,1.26 ,110000 ,4876.33 ,Tons ,536396000
2018 ,261999 ,ALMONDS ALL ,95 ,Solano ,13000 ,0.47 ,6170 ,4748.62 ,Tons ,29299000
2018 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,196000 ,1.15 ,226000 ,4700.00 ,Tons ,1062200000
2018 ,261999 ,ALMONDS ALL ,101 ,Sutter ,12400 ,0.59 ,7300 ,4541.78 ,Tons ,33155000
2018 ,261999 ,ALMONDS ALL ,103 ,Tehama ,12400 ,0.79 ,9770 ,4487.21 ,Tons ,43840000
2018 ,261999 ,ALMONDS ALL ,107 ,Tulare ,67300 ,1.00 ,67300 ,4470.00 ,Tons ,300831000
2018 ,261999 ,ALMONDS ALL ,113 ,Yolo ,33600 ,0.80 ,26900 ,4200.00 ,Tons ,112980000
2018 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1700 ,0.90 ,1530 ,5054.25 ,Tons ,7733000
2018 ,261999 ,ALMONDS ALL ,991 ,Sum of Others ,3290 ,0.51 ,1663 ,7499.10 ,Tons ,12471000
2018 ,261999 ,ALMONDS ALL , 999, State Totals,1335675 ,1.03 ,1373733 ,4708.61 ,    ,6468372900
2018 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,848 ,18.99 ,16100 ,902.98 ,Tons ,14538000
2018 ,333999 ,ANISE (FENNEL) ,991 ,Sum of Others ,118 ,9.72 ,1147 ,996.51 ,Tons ,1143000
2018 ,333999 ,ANISE (FENNEL) , 999, State Totals,966 ,17.85 ,17247 ,909.20 ,    ,15681000
2018 ,483999 ,APIARY PRODUCTS BEES PACKAGED ,11 ,Colusa ,  ,  ,3000 ,81.00 ,Lbs ,243000
2018 ,483999 ,APIARY PRODUCTS BEES PACKAGED ,21 ,Glenn ,  ,  ,149000 ,23.62 ,Lbs ,3520000
