LANDCOVER,Grassland_landbirds,Oaksavannah_landbirds,Riparian_landbirds,Wintering_waterfowl,Wintering_shorebirds,Wintering_waterbirds,Breeding_waterfowl,Breeding_shorebirds,Breeding_waterbirds,Total,Rescaled
wetland,1,0,2,3,3,3,3,3,3,24,1
riparian,0,3,3,2,0,1,1,1,2,19,0.791666667
orchard crop,0,1,1,0,0,0,0,0,0,4,0.166666667
citrus,0,1,1,0,0,0,0,0,0,4,0.166666667
vineyard,0,1,1,0,0,0,0,0,0,4,0.166666667
grassland,3,2,1,1,1,1,3,1,1,20,0.833333333
pasture,3,2,1,1,1,1,3,1,1,20,0.833333333
alfalfa,1,1,0,1,2,1,1,1,1,11,0.458333333
rice,0,0,1,3,3,3,3,3,3,20,0.833333333
corn,0,0,0,3,3,3,0,0,0,9,0.375
cereal,1,0,0,2,1,1,3,0,0,9,0.375
tomato,0,0,0,1,1,1,0,0,0,3,0.125
cotton,0,0,0,1,1,1,0,0,0,3,0.125
