Area_Type,Area_Name,Year,Quarter,Ownership,NAICS_Level,NAICS_Code,Industry_Name,Establishments,Average_Monthly_Employment,1st_Month_Emp,2nd_Month_Emp,3rd_Month_Emp,Total_Wages,Average_Weekly_Wages
California - Statewide,California,2019,1st Qtr,Local Government,3,115,Agriculture & Forestry Support Activity,7,57,60,60,52,"913,458.00","1,226.00"
California - Statewide,California,2019,1st Qtr,Private,5,11241,Sheep Farming,61,284,277,292,285,"2,238,160.00",605
California - Statewide,California,2019,1st Qtr,Private,6,112410,Sheep Farming,61,284,277,292,285,"2,238,160.00",605
California - Statewide,California,2019,1st Qtr,Private,5,11251,Animal Aquaculture,79,482,498,478,470,"5,561,603.00",888
California - Statewide,California,2019,1st Qtr,Private,5,11291,Apiculture,191,"1,134","1,040","1,148","1,215","10,903,316.00",739
California - Statewide,California,2019,1st Qtr,Private,6,112990,All Other Animal Production,118,773,765,774,782,"9,942,138.00",989
California - Statewide,California,2019,1st Qtr,Private,5,11321,Forest Nursery/Gathering Forest Products,26,211,250,205,179,"2,416,431.00",880
California - Statewide,California,2019,1st Qtr,Private,5,11331,Logging,259,"1,380","1,429","1,369","1,342","18,076,467.00","1,008.00"
California - Statewide,California,2019,1st Qtr,Private,4,1141,Fishing,205,487,453,516,493,"9,123,969.00","1,440.00"
California - Statewide,California,2019,1st Qtr,Private,4,1142,Hunting and Trapping,19,55,53,56,56,"526,844.00",737
California - Statewide,California,2019,1st Qtr,Private,5,11421,Hunting and Trapping,19,55,53,56,56,"526,844.00",737
California - Statewide,California,2019,1st Qtr,Private,3,115,Agriculture & Forestry Support Activity,"4,483","184,547","186,201","186,169","181,271","1,418,991,123.00",591
California - Statewide,California,2019,1st Qtr,Private,6,115114,Postharvest Crop Activities,565,"32,977","32,931","32,886","33,115","367,903,051.00",858
California - Statewide,California,2019,1st Qtr,Private,6,115115,Farm Labor Contractors and Crew Leaders,"1,425","118,586","121,305","120,208","114,246","732,260,097.00",475
California - Statewide,California,2019,1st Qtr,Private,5,11521,Support Activities for Animal Production,730,"3,018","3,006","3,010","3,038","27,440,207.00",699
California - Statewide,California,2019,1st Qtr,Private,6,115210,Support Activities for Animal Production,730,"3,018","3,006","3,010","3,038","27,440,207.00",699
