YEAR,CROP_GRP,CROP,ACRES,VALUE_USD,,
2018,orchard crop,almond,1090000,5468040000,1783000,9461435000
2018,vineyard,grapes,863000,12508422000,,
2018,alfalfa,alfalfa,620000,868434000,,
2018,rice,rice,506000,759938000,,
2018,corn,corn,430000,47229000,,
2018,cereal,wheat,425000,72892000,,
2018,orchard crop,walnut,350000,878800000,,
2018,orchard crop,pistachio,263000,2615550000,,
2018,tomato,tomato,260600,1197642000,,
2018,cotton,cotton,259000,89496000,,
2018,citrus,oranges,147000,1093052000,,
2018,cereal,oat,110000,1386000,,
2018,cereal,barley,65000,8791000,,
2018,citrus,tangerine,62000,556024000,,
2018,sunflower,sunflower,60000,19101000,,
2018,citrus,lemon,47000,681564000,,
2018,orchard crop,prune,44000,194832000,,
2018,orchard crop,peach,36000,304213000,,
2018,corn,sweet corn,34000,175828000,,
