LANDCOVER,FACTOR_TYPE,FACTOR,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,CODE_NAME
alfalfa,RESILIENCE,drought,3.8,0.15275252316519466,1,5,PASTURE_ALFALFA
alfalfa,RESILIENCE,flood,6.875,0.18298126367784995,5,10,PASTURE_ALFALFA
alfalfa,RESILIENCE,heat,7.857142857142857,0.20203050891044214,5,10,PASTURE_ALFALFA
cereal,RESILIENCE,drought,8.1,0.22110831935702663,1,10,GRAIN&HAY_OTHER
cereal,RESILIENCE,flood,4.125,0.25,1,10,GRAIN&HAY_OTHER
cereal,RESILIENCE,heat,8.25,0.2630521404045756,1,10,GRAIN&HAY_OTHER
citrus,RESILIENCE,drought,2.625,0.2630521404045756,1,10,ORCHARD_CITRUS&SUBTROPICAL
citrus,RESILIENCE,flood,3,0.1889822365046136,1,5,ORCHARD_CITRUS&SUBTROPICAL
citrus,RESILIENCE,heat,2.142857142857143,0.18442777839082938,1,5,ORCHARD_CITRUS&SUBTROPICAL
corn,RESILIENCE,drought,5.7,0.2333333333333333,1,10,FIELD_CORN
corn,RESILIENCE,flood,4.75,0.29504842217604116,1,10,FIELD_CORN
cotn,RESILIENCE,heat,7.285714285714286,0.2973808570665904,1,10,FIELD_CORN
grass,RESILIENCE,drought,7.583333333333333,0.19462473604038075,1,10,GRASSLAND
grass,RESILIENCE,flood,9.090909090909092,0.12196734422726126,5,10,GRASSLAND
grass,RESILIENCE,heat,9.1,0.19999999999999998,1,10,GRASSLAND
orchard,RESILIENCE,drought,1.9,0.19999999999999998,1,10,ORCHARD_DECIDUOUS
orchard,RESILIENCE,flood,5.111111111111111,0.16666666666666666,1,10,ORCHARD_DECIDUOUS
orchard,RESILIENCE,heat,3.125,0.26726124191242434,1,10,ORCHARD_DECIDUOUS
pasture,RESILIENCE,drought,6,0.20719385350268704,1,10,PASTURE_OTHER
pasture,RESILIENCE,flood,7.1,0.22110831935702663,1,10,PASTURE_OTHER
pasture,RESILIENCE,heat,8.6,0.21343747458109494,1,10,PASTURE_OTHER
rice,RESILIENCE,drought,2.2,0.15275252316519466,1,5,RICE
rice,RESILIENCE,flood,10,0,10,10,RICE
rice,RESILIENCE,heat,6.375,0.25,1,10,RICE
riparian,RESILIENCE,drought,5.083333333333333,0.12309149097933274,1,10,RIPARIAN
riparian,RESILIENCE,flood,9.090909090909092,0.12196734422726126,5,10,RIPARIAN
riparian,RESILIENCE,heat,8.1,0.22110831935702663,1,10,RIPARIAN
tomato,RESILIENCE,drought,4.888888888888889,0.30932024237944566,1,10,ROW
tomato,RESILIENCE,flood,3.7777777777777777,0.23570226039551587,1,10,ROW
tomato,RESILIENCE,heat,4.625,0.2265817417937414,1,10,ROW
vineyard,RESILIENCE,drought,4.888888888888889,0.30932024237944566,1,10,VINEYARD
vineyard,RESILIENCE,flood,5.875,0.29504842217604116,1,10,VINEYARD
vineyard,RESILIENCE,heat,4.142857142857143,0.3595159254890833,1,10,VINEYARD
wetl,RESILIENCE,drought,2.3333333333333335,0.1421338109037403,1,5,WETLAND_MANAGED
wetl,RESILIENCE,flood,10,0,10,10,WETLAND_MANAGED
wetl,RESILIENCE,heat,7.6,0.22360679774997896,1,10,WETLAND_MANAGED
