LANDCOVER,Year,harvest_ac,value,harvest_ha,USD_per_ha
alfalfa,2015,137605,157236000,55686.85376661743,2823.574854111406
alfalfa,2016,130843,107405000,52950.36522935594,2028.4090493950764
alfalfa,2017,116572,121882000,47175.08751340523,2583.6094096352467
alfalfa,2018,112777,136181000,45639.30313024828,2983.8536230791738
alfalfa,2019,111977,130081000,45315.554116671054,2870.5596242978468
corn,2015,135790,144176000,54952.348192064106,2623.654943663009
corn,2016,126860,127549000,51338.49982800834,2484.470727179568
corn,2017,128882,124448000,52156.77545982477,2386.0370757747396
corn,2018,119434,119165000,48333.299609477755,2465.484478875362
corn,2019,115788,128097000,46857.813480099554,2733.738313555809
field/row,2015,257421,808630000,104174.74353007831,7762.246131822967
field/row,2016,252534,765699000,102197.04174338844,7492.379299223075
field/row,2017,239407,655901000,96884.72511685317,6769.911347830263
field/row,2018,236325,726408000,95637.4820420469,7595.432088860679
field/row,2019,204027,653193000,82566.92499140042,7911.073351321149
grain,2015,260147,150538000,105277.9182938427,1429.9104925292238
grain,2016,243114,84206000,98384.89710851663,855.8833975007609
grain,2017,218437,101591000,88398.45409846016,1149.2395544253036
grain,2018,235427,117028000,95274.07377430647,1228.3299681005153
grain,2019,222730,96983000,90135.77224256894,1075.9657080321467
grassland,2015,716800,16352000,290079.1161651929,56.370828125
grassland,2016,726300,14998000,293923.63570142246,51.02685928679609
grassland,2017,716500,15922000,289957.7102851015,54.911455826936496
grassland,2018,699400,16411000,283037.5751198883,57.98170081498427
grassland,2019,703000,15993000,284494.4456809858,56.21550874822191
orchard/vineyard,2015,384885,1873853000,155757.67386333746,12030.566157813371
orchard/vineyard,2016,405923,1813220000,164271.46354788452,11037.948775999388
orchard/vineyard,2017,428255,1994691000,173308.91726189273,11509.453936439737
orchard/vineyard,2018,448219,1967350000,181388.07389571235,10846.082422878102
orchard/vineyard,2019,473737,1992374000,191714.85805629185,10392.381791373695
pasture,2015,82850,12168000,33528.25721859129,362.91775980687993
pasture,2016,76030,12672000,30768.296877845452,411.85250032881754
pasture,2017,75460,15563000,30537.62570567168,509.63359594487144
pasture,2018,69150,13986000,27984.055361081322,499.7846030368763
pasture,2019,69040,13730000,27939.539871714453,491.4182575318656
rice,2015,34470,56417000,13949.53562250865,4044.364022338265
rice,2016,49050,55624000,19849.86139495356,2802.236191641183
rice,2017,38960,54179000,15766.576961210822,3436.319762577002
rice,2018,45730,71952000,18506.30298860808,3887.972656899191
rice,2019,46950,76527000,19000.02023431335,4027.732552715655
