METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SUBCLASS,year,lbs_chm_used,kg_chm_used,CLASS_AREA,SUBCLASS_AREA,SUBCLASS_PROP,rate,UNIT
water quality,pesticide application rate,Air Pollutant,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2014,6479.9740535,2938.7637430839,34678.84712333792,34678.84712333792,1,0.08474225606843176,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2015,4112.4406128,1865.0524321088435,34678.84712333792,34678.84712333792,1,0.05378069303964013,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2016,3511.7905939,1592.648795419501,34678.84712333792,34678.84712333792,1,0.045925655768057294,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2017,6763.7687668,3067.4688284807253,34678.84712333792,34678.84712333792,1,0.0884535987477047,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",2018,14412.6149202,6536.333297142857,34678.84712333792,34678.84712333792,1,0.1884818510227834,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_OTHER,BEANS (DRY),2014,846.937761,384.09875782312923,7964.759359127458,2024.3778301303464,0.2541668541197606,0.1897366944580685,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_OTHER,BEANS (DRY),2015,676.532473,306.81744807256234,7964.759359127458,2024.3778301303464,0.2541668541197606,0.15156135554636402,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_OTHER,BEANS (DRY),2016,524.3014631,237.77844131519274,7964.759359127458,2024.3778301303464,0.2541668541197606,0.11745754067059831,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_OTHER,BEANS (DRY),2017,438.343247,198.79512335600907,7964.759359127458,2024.3778301303464,0.2541668541197606,0.09820060287027,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_OTHER,BEANS (DRY),2018,840.48553816,381.1725796643991,7964.759359127458,2024.3778301303464,0.2541668541197606,0.18829122409419788,kg per ha
water quality,pesticide application rate,Air Pollutant,FIELD_OTHER,SAFFLOWER,2014,2393.28110798,1085.3882575873015,7964.759359127458,4825.305365348758,0.6058319087593089,0.22493669838631095,kg per ha
