year,CODE_NAME,SUBCLASS,site_name,chemname,repro,carcinogen,groundwater,air,aquatic,critical,lbs_chm_used,acre_treated,acre_planted
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),"2,4-D, DIMETHYLAMINE SALT",NA,NA,NA,TRUE,NA,NA,382.9399236,1452.1,1452.1
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),BIFENTHRIN,NA,NA,NA,NA,TRUE,TRUE,63.0949744,614.8,1037.8
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),CHLORPYRIFOS,TRUE,NA,NA,TRUE,TRUE,TRUE,170.86134579999998,209,426
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),DIMETHOATE,NA,NA,NA,NA,TRUE,TRUE,137.640003,352,767
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),ESFENVALERATE,NA,NA,NA,NA,TRUE,TRUE,3.6506484,77.8,77.8
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),"GLYPHOSATE, ISOPROPYLAMINE SALT",NA,TRUE,NA,NA,NA,NA,7649.8057069999995,7192.1,11958.289999999999
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),"GLYPHOSATE, POTASSIUM SALT",NA,TRUE,NA,NA,NA,NA,28497.4372626,22276.09,25962.79
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),LAMBDA-CYHALOTHRIN,NA,NA,NA,NA,TRUE,TRUE,48.82757813,1647.7,1647.7
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),MALATHION,NA,TRUE,NA,NA,TRUE,TRUE,30.66273,33,33
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),METHOMYL,NA,NA,NA,NA,TRUE,TRUE,215.1,478,625
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),PERMETHRIN,NA,NA,NA,NA,TRUE,TRUE,287.620516,2297,2318
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),PHORATE,NA,NA,NA,NA,NA,TRUE,5662.08064,5336.89,5354.9
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),PROPARGITE,TRUE,NA,NA,NA,TRUE,NA,2148.6813196,903.9,2097
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN",CORN (FORAGE - FODDER),TRIFLURALIN,NA,NA,NA,TRUE,TRUE,NA,84.321495,84,84
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN","CORN, GRAIN",ATRAZINE,TRUE,NA,TRUE,NA,NA,TRUE,605.10957,380.1,421.2
2014,FIELD_CORN,"CORN, SORGHUM, OR SUDAN","CORN, GRAIN","ATRAZINE, OTHER RELATED",NA,NA,TRUE,NA,NA,TRUE,12.784005,380.1,421.2
