n,scenario,spp,value
1,baseline,ATFL,73705
1,baseline,BHGR,47388
1,baseline,COYE,694754
1,baseline,LAZB,12974
1,baseline,NUWO,18333
1,baseline,SOSP,1551184
1,baseline,SPTO,694448
1,baseline,YBCH,524
1,baseline,YEWA,129387
1,baseline,TOTAL,2244466
1,scenario1,ATFL,117770
1,scenario1,BHGR,91173
1,scenario1,COYE,738990
1,scenario1,LAZB,15268
1,scenario1,NUWO,52365
1,scenario1,SOSP,1573843
1,scenario1,SPTO,810392
1,scenario1,YBCH,1398
1,scenario1,YEWA,148441
1,scenario1,TOTAL,2326945
1,scenario2_alt,ATFL,63398
1,scenario2_alt,BHGR,45049
1,scenario2_alt,COYE,645484
1,scenario2_alt,LAZB,11192
1,scenario2_alt,NUWO,11584
1,scenario2_alt,SOSP,1483891
1,scenario2_alt,SPTO,843110
1,scenario2_alt,YBCH,479
1,scenario2_alt,YEWA,130094
1,scenario2_alt,TOTAL,2267111
1,scenario3_alt,ATFL,116045
1,scenario3_alt,BHGR,92874
1,scenario3_alt,COYE,696020
1,scenario3_alt,LAZB,14751
1,scenario3_alt,NUWO,44518
1,scenario3_alt,SOSP,1512316
1,scenario3_alt,SPTO,964412
1,scenario3_alt,YBCH,1297
1,scenario3_alt,YEWA,157133
1,scenario3_alt,TOTAL,2364721
2,baseline,ATFL,61682
2,baseline,BHGR,62541
2,baseline,COYE,709312
2,baseline,LAZB,1748
2,baseline,NUWO,12697
2,baseline,SOSP,1589342
2,baseline,SPTO,170087
2,baseline,YBCH,0
2,baseline,YEWA,300041
2,baseline,TOTAL,2081377
2,scenario1,ATFL,97829
2,scenario1,BHGR,115049
2,scenario1,COYE,736281
2,scenario1,LAZB,1727
2,scenario1,NUWO,38773
2,scenario1,SOSP,1627905
2,scenario1,SPTO,234328
2,scenario1,YBCH,46
2,scenario1,YEWA,293526
2,scenario1,TOTAL,2149279
2,scenario2_alt,ATFL,53779
2,scenario2_alt,BHGR,46556
2,scenario2_alt,COYE,668444
2,scenario2_alt,LAZB,1523
2,scenario2_alt,NUWO,9212
2,scenario2_alt,SOSP,1500128
2,scenario2_alt,SPTO,190868
2,scenario2_alt,YBCH,0
2,scenario2_alt,YEWA,293316
2,scenario2_alt,TOTAL,1990075
2,scenario3_alt,ATFL,95824
2,scenario3_alt,BHGR,101862
2,scenario3_alt,COYE,699762
2,scenario3_alt,LAZB,1416
2,scenario3_alt,NUWO,32395
2,scenario3_alt,SOSP,1560740
2,scenario3_alt,SPTO,272873
2,scenario3_alt,YBCH,46
2,scenario3_alt,YEWA,289946
2,scenario3_alt,TOTAL,2089387
3,baseline,ATFL,67461
3,baseline,BHGR,36039
3,baseline,COYE,386234
3,baseline,LAZB,438528
3,baseline,NUWO,20594
3,baseline,SOSP,1791258
3,baseline,SPTO,223813
3,baseline,YBCH,52
3,baseline,YEWA,191250
3,baseline,TOTAL,2259992
3,scenario1,ATFL,109559
3,scenario1,BHGR,66642
3,scenario1,COYE,436019
3,scenario1,LAZB,439593
3,scenario1,NUWO,45308
3,scenario1,SOSP,1780584
3,scenario1,SPTO,324268
3,scenario1,YBCH,52
3,scenario1,YEWA,218203
3,scenario1,TOTAL,2326469
3,scenario2_alt,ATFL,57823
3,scenario2_alt,BHGR,31191
3,scenario2_alt,COYE,356676
3,scenario2_alt,LAZB,438458
3,scenario2_alt,NUWO,15001
3,scenario2_alt,SOSP,1830860
3,scenario2_alt,SPTO,230152
3,scenario2_alt,YBCH,51
3,scenario2_alt,YEWA,188712
3,scenario2_alt,TOTAL,2276970
3,scenario3_alt,ATFL,109060
3,scenario3_alt,BHGR,65592
3,scenario3_alt,COYE,411018
3,scenario3_alt,LAZB,439426
3,scenario3_alt,NUWO,39635
3,scenario3_alt,SOSP,1807140
3,scenario3_alt,SPTO,365484
3,scenario3_alt,YBCH,52
3,scenario3_alt,YEWA,221084
3,scenario3_alt,TOTAL,2351748
4,baseline,ATFL,31302
4,baseline,BHGR,92857
4,baseline,COYE,415727
4,baseline,LAZB,9194
4,baseline,NUWO,29202
4,baseline,SOSP,1493517
4,baseline,SPTO,518616
4,baseline,YBCH,757139
4,baseline,YEWA,46213
4,baseline,TOTAL,2273432
4,scenario1,ATFL,55259
4,scenario1,BHGR,165894
4,scenario1,COYE,437041
4,scenario1,LAZB,18825
4,scenario1,NUWO,78902
4,scenario1,SOSP,1480689
4,scenario1,SPTO,646428
4,scenario1,YBCH,735946
4,scenario1,YEWA,61889
4,scenario1,TOTAL,2336577
4,scenario2_alt,ATFL,28615
4,scenario2_alt,BHGR,84117
4,scenario2_alt,COYE,400439
4,scenario2_alt,LAZB,7083
4,scenario2_alt,NUWO,21654
4,scenario2_alt,SOSP,1371185
4,scenario2_alt,SPTO,602157
4,scenario2_alt,YBCH,583893
4,scenario2_alt,YEWA,44246
4,scenario2_alt,TOTAL,2152208
4,scenario3_alt,ATFL,56443
4,scenario3_alt,BHGR,160232
4,scenario3_alt,COYE,425440
4,scenario3_alt,LAZB,18544
4,scenario3_alt,NUWO,75747
4,scenario3_alt,SOSP,1360263
4,scenario3_alt,SPTO,765874
4,scenario3_alt,YBCH,563696
4,scenario3_alt,YEWA,63743
4,scenario3_alt,TOTAL,2256551
5,baseline,ATFL,38062
5,baseline,BHGR,47344
5,baseline,COYE,458067
5,baseline,LAZB,444089
5,baseline,NUWO,9609
5,baseline,SOSP,1011248
5,baseline,SPTO,179639
5,baseline,YBCH,12779
5,baseline,YEWA,399545
5,baseline,TOTAL,1790035
5,scenario1,ATFL,82207
5,scenario1,BHGR,73937
5,scenario1,COYE,484517
5,scenario1,LAZB,472222
5,scenario1,NUWO,36225
5,scenario1,SOSP,1050276
5,scenario1,SPTO,242329
5,scenario1,YBCH,12559
5,scenario1,YEWA,397108
5,scenario1,TOTAL,1879391
5,scenario2_alt,ATFL,34558
5,scenario2_alt,BHGR,40416
5,scenario2_alt,COYE,447260
5,scenario2_alt,LAZB,443891
5,scenario2_alt,NUWO,6861
5,scenario2_alt,SOSP,1030413
5,scenario2_alt,SPTO,217914
5,scenario2_alt,YBCH,10125
5,scenario2_alt,YEWA,374332
5,scenario2_alt,TOTAL,1798741
5,scenario3_alt,ATFL,83026
5,scenario3_alt,BHGR,71429
5,scenario3_alt,COYE,477667
5,scenario3_alt,LAZB,473269
5,scenario3_alt,NUWO,31464
5,scenario3_alt,SOSP,1069009
5,scenario3_alt,SPTO,299953
5,scenario3_alt,YBCH,10444
5,scenario3_alt,YEWA,381502
5,scenario3_alt,TOTAL,1906464
6,baseline,ATFL,27418
6,baseline,BHGR,45886
6,baseline,COYE,338588
6,baseline,LAZB,429439
6,baseline,NUWO,20494
6,baseline,SOSP,861791
6,baseline,SPTO,329631
6,baseline,YBCH,107
6,baseline,YEWA,29377
6,baseline,TOTAL,1593521
6,scenario1,ATFL,79709
6,scenario1,BHGR,66152
6,scenario1,COYE,379124
6,scenario1,LAZB,417520
6,scenario1,NUWO,55507
6,scenario1,SOSP,991928
6,scenario1,SPTO,375092
6,scenario1,YBCH,112
6,scenario1,YEWA,40118
6,scenario1,TOTAL,1745079
6,scenario2_alt,ATFL,22952
6,scenario2_alt,BHGR,41696
6,scenario2_alt,COYE,323007
6,scenario2_alt,LAZB,426418
6,scenario2_alt,NUWO,16248
6,scenario2_alt,SOSP,839335
6,scenario2_alt,SPTO,407916
6,scenario2_alt,YBCH,108
6,scenario2_alt,YEWA,30839
6,scenario2_alt,TOTAL,1627258
6,scenario3_alt,ATFL,79965
6,scenario3_alt,BHGR,66000
6,scenario3_alt,COYE,367524
6,scenario3_alt,LAZB,415323
6,scenario3_alt,NUWO,53209
6,scenario3_alt,SOSP,989746
6,scenario3_alt,SPTO,453678
6,scenario3_alt,YBCH,112
6,scenario3_alt,YEWA,48997
6,scenario3_alt,TOTAL,1787408
7,baseline,ATFL,36885
7,baseline,BHGR,92340
7,baseline,COYE,390327
7,baseline,LAZB,61526
7,baseline,NUWO,21380
7,baseline,SOSP,988876
7,baseline,SPTO,267725
7,baseline,YBCH,222579
7,baseline,YEWA,64761
7,baseline,TOTAL,1500995
7,scenario1,ATFL,68597
7,scenario1,BHGR,154276
7,scenario1,COYE,427851
7,scenario1,LAZB,65907
7,scenario1,NUWO,56276
7,scenario1,SOSP,1056840
7,scenario1,SPTO,322664
7,scenario1,YBCH,228183
7,scenario1,YEWA,78011
7,scenario1,TOTAL,1620854
7,scenario2_alt,ATFL,31063
7,scenario2_alt,BHGR,81788
7,scenario2_alt,COYE,379332
7,scenario2_alt,LAZB,61554
7,scenario2_alt,NUWO,17158
7,scenario2_alt,SOSP,1009425
7,scenario2_alt,SPTO,332522
7,scenario2_alt,YBCH,237139
7,scenario2_alt,YEWA,96588
7,scenario2_alt,TOTAL,1604037
7,scenario3_alt,ATFL,65679
7,scenario3_alt,BHGR,154866
7,scenario3_alt,COYE,416326
7,scenario3_alt,LAZB,66756
7,scenario3_alt,NUWO,50878
7,scenario3_alt,SOSP,1107056
7,scenario3_alt,SPTO,396005
7,scenario3_alt,YBCH,238120
7,scenario3_alt,YEWA,105727
7,scenario3_alt,TOTAL,1730648
8,baseline,ATFL,73896
8,baseline,BHGR,63937
8,baseline,COYE,470060
8,baseline,LAZB,6379
8,baseline,NUWO,13059
8,baseline,SOSP,1296568
8,baseline,SPTO,488104
8,baseline,YBCH,1025
8,baseline,YEWA,27830
8,baseline,TOTAL,1818874
