n,scenario,spp,value
1,baseline,dblr,63013
1,baseline,shore,152236
1,baseline,cicon,192842
1,baseline,crane,62080
1,baseline,geese,18183
1,baseline,TOTAL,272460
1,scenario1,dblr,102846
1,scenario1,shore,186751
1,scenario1,cicon,213504
1,scenario1,crane,59576
1,scenario1,geese,17550
1,scenario1,TOTAL,300649
1,scenario2_alt,dblr,60262
1,scenario2_alt,shore,145786
1,scenario2_alt,cicon,170042
1,scenario2_alt,crane,66038
1,scenario2_alt,geese,27816
1,scenario2_alt,TOTAL,251515
1,scenario3_alt,dblr,101058
1,scenario3_alt,shore,180903
1,scenario3_alt,cicon,196440
1,scenario3_alt,crane,63992
1,scenario3_alt,geese,26934
1,scenario3_alt,TOTAL,285490
2,baseline,dblr,89335
2,baseline,shore,161407
2,baseline,cicon,316141
2,baseline,crane,54553
2,baseline,geese,8739
2,baseline,TOTAL,347652
2,scenario1,dblr,127683
2,scenario1,shore,195468
2,scenario1,cicon,338219
2,scenario1,crane,53961
2,scenario1,geese,8657
2,scenario1,TOTAL,369543
2,scenario2_alt,dblr,86880
2,scenario2_alt,shore,154843
2,scenario2_alt,cicon,321617
2,scenario2_alt,crane,58885
2,scenario2_alt,geese,11150
2,scenario2_alt,TOTAL,340227
2,scenario3_alt,dblr,125299
2,scenario3_alt,shore,190450
2,scenario3_alt,cicon,345234
2,scenario3_alt,crane,58512
2,scenario3_alt,geese,10890
2,scenario3_alt,TOTAL,363655
3,baseline,dblr,72538
3,baseline,shore,129656
3,baseline,cicon,172591
3,baseline,crane,38392
3,baseline,geese,75872
3,baseline,TOTAL,249387
3,scenario1,dblr,114483
3,scenario1,shore,164936
3,scenario1,cicon,206540
3,scenario1,crane,40191
3,scenario1,geese,77695
3,scenario1,TOTAL,294572
3,scenario2_alt,dblr,70095
3,scenario2_alt,shore,125263
3,scenario2_alt,cicon,152823
3,scenario2_alt,crane,39060
3,scenario2_alt,geese,125992
3,scenario2_alt,TOTAL,257152
3,scenario3_alt,dblr,110628
3,scenario3_alt,shore,160936
3,scenario3_alt,cicon,187711
3,scenario3_alt,crane,41040
3,scenario3_alt,geese,139137
3,scenario3_alt,TOTAL,301101
4,baseline,dblr,77158
4,baseline,shore,162451
4,baseline,cicon,243109
4,baseline,crane,50773
4,baseline,geese,13765
4,baseline,TOTAL,298270
4,scenario1,dblr,116615
4,scenario1,shore,195758
4,scenario1,cicon,296900
4,scenario1,crane,52903
4,scenario1,geese,17714
4,scenario1,TOTAL,347244
4,scenario2_alt,dblr,72679
4,scenario2_alt,shore,158054
4,scenario2_alt,cicon,231427
4,scenario2_alt,crane,62596
4,scenario2_alt,geese,21421
4,scenario2_alt,TOTAL,290955
4,scenario3_alt,dblr,114106
4,scenario3_alt,shore,192237
