n,scenario,spp,value
1,baseline,dblr,289411
1,baseline,shore,209224
1,baseline,cicon,559627
1,baseline,crane,131777
1,baseline,geese,233441
1,baseline,divduck,103768
1,baseline,TOTAL,691650
1,scenario1,dblr,330032
1,scenario1,shore,244754
1,scenario1,cicon,598737
1,scenario1,crane,118435
1,scenario1,geese,240137
1,scenario1,divduck,130126
1,scenario1,TOTAL,717923
1,scenario2_alt,dblr,280247
1,scenario2_alt,shore,227609
1,scenario2_alt,cicon,544620
1,scenario2_alt,crane,125126
1,scenario2_alt,geese,278462
1,scenario2_alt,divduck,97638
1,scenario2_alt,TOTAL,659064
1,scenario3_alt,dblr,320991
1,scenario3_alt,shore,267402
1,scenario3_alt,cicon,584047
1,scenario3_alt,crane,111173
1,scenario3_alt,geese,282422
1,scenario3_alt,divduck,124523
1,scenario3_alt,TOTAL,682880
2,baseline,dblr,269847
2,baseline,shore,258608
2,baseline,cicon,258025
2,baseline,crane,276924
2,baseline,geese,268066
2,baseline,divduck,82939
2,baseline,TOTAL,546218
2,scenario1,dblr,305333
2,scenario1,shore,288767
2,scenario1,cicon,313020
2,scenario1,crane,273696
2,scenario1,geese,279519
2,scenario1,divduck,109913
2,scenario1,TOTAL,587726
2,scenario2_alt,dblr,256810
2,scenario2_alt,shore,249312
2,scenario2_alt,cicon,277498
2,scenario2_alt,crane,244763
2,scenario2_alt,geese,272539
2,scenario2_alt,divduck,77648
2,scenario2_alt,TOTAL,519670
2,scenario3_alt,dblr,292220
2,scenario3_alt,shore,278274
2,scenario3_alt,cicon,332413
2,scenario3_alt,crane,241754
2,scenario3_alt,geese,280699
2,scenario3_alt,divduck,103835
2,scenario3_alt,TOTAL,560274
3,baseline,dblr,297812
3,baseline,shore,217294
3,baseline,cicon,377803
3,baseline,crane,43335
3,baseline,geese,291982
3,baseline,divduck,80182
3,baseline,TOTAL,601913
3,scenario1,dblr,336391
3,scenario1,shore,253875
3,scenario1,cicon,439435
3,scenario1,crane,37075
3,scenario1,geese,280662
3,scenario1,divduck,107806
3,scenario1,TOTAL,650345
3,scenario2_alt,dblr,284705
3,scenario2_alt,shore,211260
3,scenario2_alt,cicon,388314
3,scenario2_alt,crane,42468
3,scenario2_alt,geese,295821
3,scenario2_alt,divduck,81262
3,scenario2_alt,TOTAL,583542
3,scenario3_alt,dblr,323230
3,scenario3_alt,shore,251453
3,scenario3_alt,cicon,445000
3,scenario3_alt,crane,34963
3,scenario3_alt,geese,280713
3,scenario3_alt,divduck,107256
3,scenario3_alt,TOTAL,627003
4,baseline,dblr,253758
4,baseline,shore,188274
4,baseline,cicon,704728
4,baseline,crane,274128
4,baseline,geese,258405
4,baseline,divduck,145714
4,baseline,TOTAL,755564
4,scenario1,dblr,291602
4,scenario1,shore,219267
4,scenario1,cicon,751992
4,scenario1,crane,269093
4,scenario1,geese,270395
4,scenario1,divduck,173828
4,scenario1,TOTAL,796083
4,scenario2_alt,dblr,247117
4,scenario2_alt,shore,191454
4,scenario2_alt,cicon,673426
4,scenario2_alt,crane,241684
4,scenario2_alt,geese,268153
4,scenario2_alt,divduck,134595
4,scenario2_alt,TOTAL,716347
4,scenario3_alt,dblr,284900
4,scenario3_alt,shore,223963
4,scenario3_alt,cicon,716593
4,scenario3_alt,crane,236902
4,scenario3_alt,geese,283191
4,scenario3_alt,divduck,162118
4,scenario3_alt,TOTAL,753434
5,baseline,dblr,199958
5,baseline,shore,102544
5,baseline,cicon,185984
5,baseline,crane,159929
5,baseline,geese,189200
5,baseline,divduck,49327
5,baseline,TOTAL,439255
5,scenario1,dblr,236975
5,scenario1,shore,137387
5,scenario1,cicon,238097
5,scenario1,crane,157500
5,scenario1,geese,192420
5,scenario1,divduck,56340
5,scenario1,TOTAL,487417
5,scenario2_alt,dblr,195980
5,scenario2_alt,shore,110450
5,scenario2_alt,cicon,210129
5,scenario2_alt,crane,155755
5,scenario2_alt,geese,187002
5,scenario2_alt,divduck,51304
5,scenario2_alt,TOTAL,433334
5,scenario3_alt,dblr,232752
5,scenario3_alt,shore,145386
5,scenario3_alt,cicon,262165
5,scenario3_alt,crane,149930
5,scenario3_alt,geese,187852
5,scenario3_alt,divduck,55336
5,scenario3_alt,TOTAL,477094
6,baseline,dblr,243305
6,baseline,shore,341814
6,baseline,cicon,696131
6,baseline,crane,204195
6,baseline,geese,331706
6,baseline,divduck,60936
6,baseline,TOTAL,773112
6,scenario1,dblr,281303
6,scenario1,shore,378493
6,scenario1,cicon,745626
6,scenario1,crane,196711
6,scenario1,geese,348920
6,scenario1,divduck,88089
6,scenario1,TOTAL,809693
6,scenario2_alt,dblr,235672
6,scenario2_alt,shore,324126
6,scenario2_alt,cicon,671449
6,scenario2_alt,crane,185951
6,scenario2_alt,geese,339478
6,scenario2_alt,divduck,57441
6,scenario2_alt,TOTAL,733520
6,scenario3_alt,dblr,272795
6,scenario3_alt,shore,360582
6,scenario3_alt,cicon,718984
6,scenario3_alt,crane,177214
6,scenario3_alt,geese,355499
6,scenario3_alt,divduck,83060
