class,net_change,group
Grassland & Pasture,-2778.120000004492,A
Row & Field Crops,-1438.8300000023264,A
Idle,-1071.0900000017318,A
Corn,-536.3999999791849,A
Rice,-468.72000000075786,A
Alfalfa,-416.7900000006739,A
Perennial Crops,-406.2600000006569,A
Woodland & Scrub,-44.460000000015725,A
Barren,-13.320000000000505,A
Urban,-3.2399999998742715,A
Water,0,A
Wetlands,3188.1600000024614,A
Riparian,3989.0700000047427,A
Introduced Scrub,0,B
Mixed Shrub,1.080000000000041,B
Willow Forest,193.67999999988956,B
Mixed Forest,209.7900000000742,B
Cottonwood,606.2400000001369,B
Willow Shrub,713.3400000011534,B
Valley Oak,2264.9400000034884,B
Other Wetland,-555.8400000008987,C
Tidal Wetland,0,C
Managed - Perennial,1171.619999999201,C
Managed - Seasonal,2572.3800000041592,C
