class,zone,area_unit,value_baseline,value_scenario,net_change,LABEL
IDLE,area,ha,26609.3100000389,23081.850000033195,-3527.4600000057035,Idle
ROW,area,ha,17099.280000023522,14206.410000018845,-2892.8700000046774,Row Crops
FIELD_CORN,area,ha,34879.40999996692,32429.88000004831,-2449.52999991861,Corn
PASTURE_ALFALFA,area,ha,19171.620000026873,17636.13000002439,-1535.4900000024827,Alfalfa
GRAIN&HAY_WHEAT,area,ha,11669.580000014743,10362.96000001263,-1306.6200000021126,Grain
PASTURE,area,ha,24038.10000003474,22815.900000032765,-1222.2000000019762,Pasture
GRASSLAND,area,ha,20491.740000029007,19682.7300000277,-809.0100000013081,Grassland
FIELD,area,ha,8005.68000000882,7253.640000007604,-752.040000001216,Field Crops
GRAIN&HAY,area,ha,7840.4400000085525,7168.7700000074665,-671.670000001086,Grain
WETLAND_OTHER,area,ha,10498.140000012849,10096.5600000122,-401.5800000006493,Other Wetland
RIPARIAN_FOREST_QULO,area,ha,1979.3699999992496,1657.5299999995423,-321.8399999997073,Riparian Forest
RIPARIAN_FOREST_POFR,area,ha,1714.1399999994908,1591.1099999996027,-123.0299999998881,Riparian Forest
RIPARIAN_SCRUB_SALIX,area,ha,2062.3499999992105,1964.9699999992627,-97.37999999994781,Riparian Scrub
RIPARIAN_FOREST_MIXED,area,ha,594.9899999999667,537.2099999999463,-57.780000000020436,Riparian Forest
RIPARIAN_FOREST_SALIX,area,ha,972.0000000001,919.8900000000816,-52.11000000001843,Riparian Forest
RIPARIAN_SCRUB_INTRO,area,ha,916.7400000000805,868.2300000000633,-48.51000000001716,Riparian Scrub
WETLAND_TIDAL,area,ha,3558.87000000163,3548.7000000016137,-10.170000000016444,Tidal Wetland
WETLAND_MANAGED_PERENNIAL,area,ha,939.6000000000886,935.3700000000871,-4.230000000001496,Managed Wetland - Perennial
BARREN,area,ha,190.53000000000594,186.5700000000058,-3.96000000000015,Barren
RIPARIAN_SCRUB_MIXED,area,ha,114.75000000000308,112.590000000003,-2.160000000000082,Riparian Scrub
WETLAND_MANAGED_SEASONAL,area,ha,5069.520000004072,5069.250000004072,-0.27000000000043656,Managed Wetland - Seasonal
RICE,area,ha,2679.930000000209,2679.930000000209,0,Rice
URBAN,area,ha,36784.52999989299,36784.52999989299,0,Urban
WATER,area,ha,26771.40000003916,26771.40000003916,0,Water
WOODLAND&SCRUB,area,ha,1003.050000000111,1003.050000000111,0,Woodland & Scrub
ORCHARD_CITRUS&SUBTROPICAL,area,ha,643.769999999984,814.9500000000445,171.18000000006055,Orchard - Citrus & Subtropical
VINEYARD,area,ha,16304.940000022238,22735.800000032636,6430.860000010398,Vineyard
ORCHARD_DECIDUOUS,area,ha,15788.070000021402,25475.940000037066,9687.870000015664,Orchard - Deciduous Fruits & Nuts
