rowname,zone,value_baseline,value_scenario,area_unit,net_change,species,scenario,offset
1,Contra Costa & Alameda,38430.85944467783,41595.005822241306,px,3164.1463775634766,cicon,scenario1,4.435
1,Sacramento,70694.59157294035,75279.31615763903,px,4584.724584698677,cicon,scenario1,4.435
1,San Joaquin,117768.71542274952,116886.96520110965,px,-881.7502216398716,cicon,scenario1,4.435
1,Solano,93997.6571187973,96746.38776242733,px,2748.7306436300278,cicon,scenario1,4.435
1,Yolo,83571.86007869244,93876.29155749083,px,10304.43147879839,cicon,scenario1,4.435
2,Contra Costa & Alameda,38430.85944467783,38309.29561316967,px,-121.56383150815964,cicon,scenario2,4.435
2,Sacramento,70694.59157294035,67408.43292737007,px,-3286.158645570278,cicon,scenario2,4.435
2,San Joaquin,117768.71542274952,103940.5074519217,px,-13828.207970827818,cicon,scenario2,4.435
2,Solano,93997.6571187973,92538.56400537491,px,-1459.0931134223938,cicon,scenario2,4.435
2,Yolo,83571.86007869244,78278.90602487326,px,-5292.9540538191795,cicon,scenario2,4.435
3,Contra Costa & Alameda,3894.676311133895,3414.0035947491415,px,-480.6727163847536,crane,scenario1,3.709
3,Sacramento,30253.435541440733,30944.259569725953,px,690.8240282852203,crane,scenario1,3.709
3,San Joaquin,52353.31130275852,51554.28829338506,px,-799.0230093734572,crane,scenario1,3.709
3,Solano,3614.881241617957,3778.090001997567,px,163.20876037960988,crane,scenario1,3.709
3,Yolo,6459.928672746988,8275.937435245607,px,1816.008762498619,crane,scenario1,3.709
4,Contra Costa & Alameda,3894.676311133895,3646.0952600685414,px,-248.58105106535368,crane,scenario2,3.709
4,Sacramento,30253.435541440733,30626.64181347564,px,373.20627203490585,crane,scenario2,3.709
4,San Joaquin,52353.31130275852,54843.18483920419,px,2489.873536445666,crane,scenario2,3.709
4,Solano,3614.881241617957,3571.213098411885,px,-43.66814320607227,crane,scenario2,3.709
4,Yolo,6459.928672746988,6940.306860316778,px,480.3781875697896,crane,scenario2,3.709
5,Contra Costa & Alameda,5577.156767193228,8325.308571236208,px,2748.15180404298,dblr,scenario1,4.435
5,Sacramento,23764.83590341732,38510.540581935085,px,14745.704678517766,dblr,scenario1,4.435
5,San Joaquin,16300.47053154651,16550.43994167447,px,249.96941012796015,dblr,scenario1,4.435
5,Solano,23273.849267769605,28455.21402224712,px,5181.364754477516,dblr,scenario1,4.435
5,Yolo,51171.695440026,71517.74693895038,px,20346.051498924382,dblr,scenario1,4.435
6,Contra Costa & Alameda,5577.156767193228,4488.35596405156,px,-1088.8008031416684,dblr,scenario2,4.435
6,Sacramento,23764.83590341732,21478.064471429214,px,-2286.771431988105,dblr,scenario2,4.435
6,San Joaquin,16300.47053154651,14061.657777095214,px,-2238.812754451297,dblr,scenario2,4.435
6,Solano,23273.849267769605,22769.021357367747,px,-504.8279104018584,dblr,scenario2,4.435
6,Yolo,51171.695440026,48277.19897987787,px,-2894.4964601481333,dblr,scenario2,4.435
7,Contra Costa & Alameda,785.8310364666395,925.7580699685495,px,139.92703350191005,geese,scenario1,3.709
7,Sacramento,14278.95068698842,15920.963413835037,px,1642.0127268466167,geese,scenario1,3.709
7,San Joaquin,38115.94570298749,36318.442340765614,px,-1797.5033622218762,geese,scenario1,3.709
7,Solano,6167.925050164573,6278.774244423024,px,110.84919425845146,geese,scenario1,3.709
7,Yolo,26887.913302560337,32070.589020006126,px,5182.675717445789,geese,scenario1,3.709
8,Contra Costa & Alameda,785.8310364666395,781.3082718523219,px,-4.522764614317566,geese,scenario2,3.709
8,Sacramento,14278.95068698842,16167.774712693412,px,1888.824025704991,geese,scenario2,3.709
8,San Joaquin,38115.94570298749,66187.41666843882,px,28071.470965451328,geese,scenario2,3.709
8,Solano,6167.925050164573,10280.217325799866,px,4112.292275635293,geese,scenario2,3.709
8,Yolo,26887.913302560337,38174.12705969252,px,11286.21375713218,geese,scenario2,3.709
9,Contra Costa & Alameda,14448.281792739406,16784.83685028553,px,2336.555057546124,shore,scenario1,4.435
9,Sacramento,30209.087066773325,41818.4180284217,px,11609.330961648375,shore,scenario1,4.435
9,San Joaquin,36991.34206677787,37265.48978742771,px,274.14772064983845,shore,scenario1,4.435
9,Solano,37782.45384465903,43178.04355606064,px,5395.589711401612,shore,scenario1,4.435
9,Yolo,61180.00998543762,79534.89150678739,px,18354.881521349773,shore,scenario1,4.435
10,Contra Costa & Alameda,14448.281792739406,14578.64862816222,px,130.3668354228139,shore,scenario2,4.435
10,Sacramento,30209.087066773325,29653.420135073364,px,-555.6669316999614,shore,scenario2,4.435
10,San Joaquin,36991.34206677787,33350.68354569655,px,-3640.658521081321,shore,scenario2,4.435
10,Solano,37782.45384465903,37735.67906923778,px,-46.774775421246886,shore,scenario2,4.435
10,Yolo,61180.00998543762,59276.933181354776,px,-1903.0768040828407,shore,scenario2,4.435
