combo,value_baseline,value_scenario,area_unit,net_change,scenario,species,name,plot_lab,species_name,change_area,change_pct,scenario_lab
3,359695.34676632937,395443.429690538,px,35748.082924208604,scenario1,dblr,A. Dabbling Ducks,A,Dabbling Ducks,3.217327463178774,0.09938433523142517,"Scenario 1.
Habitat Restoration"
6,314010.6289344083,338931.8219947084,px,24921.19306030008,scenario1,shore,B. Shorebirds,B,Shorebirds,2.242907375427007,0.07936417039407195,"Scenario 1.
Habitat Restoration"
1,470897.5105637312,493172.6955514103,px,22275.184987679124,scenario1,cicon,C. Herons/Egrets,C,Herons/Egrets,2.0047666488911213,0.04730367964997854,"Scenario 1.
Habitat Restoration"
2,269367.4964328371,261761.6438226886,px,-7605.8526101484895,scenario1,crane,D. Cranes,D,Cranes,-0.684526734913364,-0.02823597022978197,"Scenario 1.
Habitat Restoration"
5,442900.9919623139,454463.6340169669,px,11562.642054653028,scenario1,geese,E. Geese,E,Geese,1.0406377849187725,0.026106606813914936,"Scenario 1.
Habitat Restoration"
4,122065.48033808958,144803.78622144676,px,22738.305883357185,scenario1,divduck,F. Diving Ducks,F,Diving Ducks,2.0464475295021467,0.18627957568657413,"Scenario 1.
Habitat Restoration"
9,359695.34676632937,347215.04833407514,px,-12480.298432254232,scenario2,dblr,A. Dabbling Ducks,A,Dabbling Ducks,-1.1232268589028809,-0.03469685817304128,"Scenario 2.
Perennial Crop Expansion"
12,314010.6289344083,300554.71638647094,px,-13455.912547937362,scenario2,shore,B. Shorebirds,B,Shorebirds,-1.2110321293143624,-0.042851774137709464,"Scenario 2.
Perennial Crop Expansion"
7,470897.5105637312,452331.9037932679,px,-18565.606770463288,scenario2,cicon,C. Herons/Egrets,C,Herons/Egrets,-1.6709046093416957,-0.03942600322570748,"Scenario 2.
Perennial Crop Expansion"
8,269367.4964328371,243938.17638666183,px,-25429.32004617527,scenario2,crane,D. Cranes,D,Cranes,-2.288638804155774,-0.09440381776914092,"Scenario 2.
Perennial Crop Expansion"
11,442900.9919623139,449721.49960923614,px,6820.507646922255,scenario2,geese,E. Geese,E,Geese,0.6138456882230029,0.015399621519706613,"Scenario 2.
Perennial Crop Expansion"
10,122065.48033808958,121008.35752642434,px,-1057.1228116652346,scenario2,divduck,F. Diving Ducks,F,Diving Ducks,-0.09514105304987112,-0.008660292891465138,"Scenario 2.
Perennial Crop Expansion"
