rowname,zone,value_baseline,value_scenario,area_unit,net_change,species,scenario
1,Contra Costa & Alameda,46623.18222774565,50606.05818992853,px,3982.8759621828794,cicon,scenario1
1,Sacramento,72300.06317803264,80438.7962487042,px,8138.733070671558,cicon,scenario1
1,San Joaquin,213522.05912540853,213192.61900410056,px,-329.4401213079691,cicon,scenario1
1,Solano,71124.91978280246,72436.47562882304,px,1311.5558460205793,cicon,scenario1
1,Yolo,67327.28624974191,79729.68274973333,px,12402.396499991417,cicon,scenario1
2,Contra Costa & Alameda,46623.18222774565,46990.09234380722,px,366.91011606156826,cicon,scenario2
2,Sacramento,72300.06317803264,69012.21856259555,px,-3287.8446154370904,cicon,scenario2
2,San Joaquin,213522.05912540853,201214.4426316619,px,-12307.616493746638,cicon,scenario2
2,Solano,71124.91978280246,69884.66279496253,px,-1240.2569878399372,cicon,scenario2
2,Yolo,67327.28624974191,65329.64200526476,px,-1997.6442444771528,cicon,scenario2
3,Contra Costa & Alameda,25258.28214328736,24332.198253210634,px,-926.0838900767267,crane,scenario1
3,Sacramento,66191.72623850778,61869.69018350914,px,-4322.036054998636,crane,scenario1
3,San Joaquin,154788.34345921874,153974.47646107152,px,-813.8669981472194,crane,scenario1
3,Solano,11807.12830394879,11999.76492184773,px,192.63661789894104,crane,scenario1
3,Yolo,11322.01628787443,11942.877720549703,px,620.8614326752722,crane,scenario1
4,Contra Costa & Alameda,25258.28214328736,25636.88133609295,px,378.59919280558825,crane,scenario2
4,Sacramento,66191.72623850778,63448.62274841964,px,-2743.103490088135,crane,scenario2
4,San Joaquin,154788.34345921874,129077.61743302643,px,-25710.726026192307,crane,scenario2
4,Solano,11807.12830394879,11480.384522974491,px,-326.7437809742987,crane,scenario2
4,Yolo,11322.01628787443,10923.41060852632,px,-398.60567934811115,crane,scenario2
5,Contra Costa & Alameda,31927.718829363585,34704.82785387151,px,2777.109024507925,dblr,scenario1
5,Sacramento,53195.987389099784,65022.93041029852,px,11826.943021198735,dblr,scenario1
5,San Joaquin,188580.8341307221,190807.28494190518,px,2226.45081118308,dblr,scenario1
5,Solano,27482.599996928126,29328.444979773834,px,1845.8449828457087,dblr,scenario1
5,Yolo,58508.20642021578,78301.40005058888,px,19793.193630373105,dblr,scenario1
6,Contra Costa & Alameda,31927.718829363585,32267.915971798822,px,340.19714243523777,dblr,scenario2
6,Sacramento,53195.987389099784,52570.84925707709,px,-625.1381320226938,dblr,scenario2
6,San Joaquin,188580.8341307221,177832.71452724934,px,-10748.119603472762,dblr,scenario2
6,Solano,27482.599996928126,26951.849797688425,px,-530.750199239701,dblr,scenario2
6,Yolo,58508.20642021578,57581.071105812676,px,-927.1353144031018,dblr,scenario2
7,Contra Costa & Alameda,12347.9432279201,13123.74941674003,px,775.80618881993,divduck,scenario1
7,Sacramento,14860.26792953437,24390.348536573467,px,9530.080607039097,divduck,scenario1
7,San Joaquin,50614.92794548528,49971.429327060876,px,-643.4986184244044,divduck,scenario1
7,Solano,10226.982770980569,11394.948642048985,px,1167.9658710684162,divduck,scenario1
7,Yolo,34015.35846416926,53012.58585934964,px,18997.22739518038,divduck,scenario1
8,Contra Costa & Alameda,12347.9432279201,12311.92265766079,px,-36.02057025930844,divduck,scenario2
8,Sacramento,14860.26792953437,14989.438494012807,px,129.17056447843788,divduck,scenario2
8,San Joaquin,50614.92794548528,48766.644722326426,px,-1848.2832231588545,divduck,scenario2
8,Solano,10226.982770980569,10216.215214403113,px,-10.767556577455252,divduck,scenario2
8,Yolo,34015.35846416926,34724.1364380212,px,708.7779738519457,divduck,scenario2
9,Contra Costa & Alameda,39821.19627321698,40511.62841064483,px,690.4321374278516,geese,scenario1
9,Sacramento,89075.84377845842,88079.28036085516,px,-996.5634176032618,geese,scenario1
9,San Joaquin,230846.3777730679,231355.7044283785,px,509.32665531057864,geese,scenario1
9,Solano,25612.766231096582,26123.05923700612,px,510.2930059095379,geese,scenario1
9,Yolo,57544.80790647399,68394.76328547206,px,10849.955378998071,geese,scenario1
10,Contra Costa & Alameda,39821.19627321698,46637.28788283467,px,6816.091609617695,geese,scenario2
10,Sacramento,89075.84377845842,86445.66633035988,px,-2630.1774480985478,geese,scenario2
10,San Joaquin,230846.3777730679,230210.6939760605,px,-635.6837970074266,geese,scenario2
10,Solano,25612.766231096582,27445.26995058125,px,1832.5037194846664,geese,scenario2
10,Yolo,57544.80790647399,59572.47243164759,px,2027.6645251736045,geese,scenario2
11,Contra Costa & Alameda,25630.393516882323,27130.10912791337,px,1499.7156110310461,shore,scenario1
11,Sacramento,53981.721494928,61426.61810449371,px,7444.896609565709,shore,scenario1
11,San Joaquin,162065.72606012365,163276.9353160006,px,1211.209255876951,shore,scenario1
11,Solano,30693.60393716721,32760.914385309676,px,2067.310448142467,shore,scenario1
11,Yolo,41639.18392530712,56685.4276664448,px,15046.243741137674,shore,scenario1
12,Contra Costa & Alameda,25630.393516882323,27447.342704548733,px,1816.9491876664106,shore,scenario2
12,Sacramento,53981.721494928,51648.86289256066,px,-2332.8586023673415,shore,scenario2
12,San Joaquin,162065.72606012365,149662.77521667816,px,-12402.950843445491,shore,scenario2
12,Solano,30693.60393716721,30442.873658481985,px,-250.7302786852233,shore,scenario2
12,Yolo,41639.18392530712,41353.084000660805,px,-286.09992464631796,shore,scenario2
