class,zone,area_unit,value_baseline,value_scenario,net_change,scenario,LABEL
PASTURE_OTHER,area,ha,24038.10000003474,22469.400000032205,-1568.7000000025364,scenario1_restoration,Other Pasture
GRASSLAND,area,ha,20491.740000029007,19282.32000002705,-1209.4200000019555,scenario1_restoration,Grassland
IDLE,area,ha,26609.3100000389,25538.220000037167,-1071.0900000017318,scenario1_restoration,Idle
WETLAND_OTHER,area,ha,10498.140000012849,9942.30000001195,-555.8400000008987,scenario1_restoration,Other Wetland
FIELD_CORN,area,ha,34879.40999996692,34343.009999987735,-536.3999999791849,scenario1_restoration,Corn
RICE,area,ha,2679.930000000209,2211.209999999451,-468.72000000075786,scenario1_restoration,Rice
FIELD_OTHER,area,ha,8005.68000000882,7551.450000008085,-454.23000000073444,scenario1_restoration,Other Field Crops
PASTURE_ALFALFA,area,ha,19171.620000026873,18754.8300000262,-416.7900000006739,scenario1_restoration,Alfalfa
GRAIN&HAY_WHEAT,area,ha,11669.580000014743,11281.140000014115,-388.44000000062806,scenario1_restoration,Wheat
ROW,area,ha,17099.280000023522,16736.940000022936,-362.34000000058586,scenario1_restoration,Row Crops
GRAIN&HAY_OTHER,area,ha,7840.4400000085525,7606.620000008174,-233.82000000037806,scenario1_restoration,Other Grains
VINEYARD,area,ha,16304.940000022238,16097.670000021903,-207.27000000033513,scenario1_restoration,Vineyard
ORCHARD_DECIDUOUS,area,ha,15788.070000021402,15589.08000002108,-198.99000000032174,scenario1_restoration,Orchard - Deciduous Fruits & Nuts
WOODLAND,area,ha,762.660000000026,719.4600000000107,-43.20000000001528,scenario1_restoration,Woodland
BARREN,area,ha,190.53000000000594,177.21000000000544,-13.320000000000505,scenario1_restoration,Barren
URBAN,area,ha,36784.52999989299,36781.28999989312,-3.2399999998742715,scenario1_restoration,Urban
SCRUB,area,ha,240.39000000000783,239.13000000000778,-1.2600000000000477,scenario1_restoration,Scrub
ORCHARD_CITRUS&SUBTROPICAL,area,ha,643.769999999984,643.769999999984,0,scenario1_restoration,Orchard - Citrus & Subtropical
RIPARIAN_SCRUB_INTRO,area,ha,916.7400000000805,916.7400000000805,0,scenario1_restoration,Riparian - Introduced Scrub
WETLAND_TIDAL,area,ha,3558.87000000163,3558.87000000163,0,scenario1_restoration,Tidal Wetland
WATER,area,ha,26771.40000003916,26771.40000003916,0,scenario1_restoration,Water
RIPARIAN_SCRUB_MIXED,area,ha,114.75000000000308,115.83000000000312,1.080000000000041,scenario1_restoration,Riparian - Mixed Shrub
RIPARIAN_FOREST_SALIX,area,ha,972.0000000001,1165.6799999999896,193.67999999988956,scenario1_restoration,Riparian - Willow
RIPARIAN_FOREST_MIXED,area,ha,594.9899999999667,804.7800000000409,209.7900000000742,scenario1_restoration,Riparian - Mixed Forest
RIPARIAN_FOREST_POFR,area,ha,1714.1399999994908,2320.3799999996277,606.2400000001369,scenario1_restoration,Riparian - Cottonwood
RIPARIAN_SCRUB_SALIX,area,ha,2062.3499999992105,2775.690000000364,713.3400000011534,scenario1_restoration,Riparian - Willow Shrub
WETLAND_MANAGED_PERENNIAL,area,ha,939.6000000000886,2111.2199999992895,1171.619999999201,scenario1_restoration,Managed Wetland - Perennial
RIPARIAN_FOREST_QULO,area,ha,1979.3699999992496,4244.310000002738,2264.9400000034884,scenario1_restoration,Riparian - Valley Oak
WETLAND_MANAGED_SEASONAL,area,ha,5069.520000004072,7641.9000000082315,2572.3800000041592,scenario1_restoration,Managed Wetland - Seasonal
IDLE,area,ha,26609.3100000389,23081.850000033195,-3527.4600000057035,scenario2_perennialexpand,Idle
ROW,area,ha,17099.280000023522,14206.410000018845,-2892.8700000046774,scenario2_perennialexpand,Row Crops
FIELD_CORN,area,ha,34879.40999996692,32429.88000004831,-2449.52999991861,scenario2_perennialexpand,Corn
PASTURE_ALFALFA,area,ha,19171.620000026873,17636.13000002439,-1535.4900000024827,scenario2_perennialexpand,Alfalfa
GRAIN&HAY_WHEAT,area,ha,11669.580000014743,10362.96000001263,-1306.6200000021126,scenario2_perennialexpand,Wheat
PASTURE_OTHER,area,ha,24038.10000003474,22815.900000032765,-1222.2000000019762,scenario2_perennialexpand,Other Pasture
GRASSLAND,area,ha,20491.740000029007,19682.7300000277,-809.0100000013081,scenario2_perennialexpand,Grassland
FIELD_OTHER,area,ha,8005.68000000882,7253.640000007604,-752.040000001216,scenario2_perennialexpand,Other Field Crops
GRAIN&HAY_OTHER,area,ha,7840.4400000085525,7168.7700000074665,-671.670000001086,scenario2_perennialexpand,Other Grains
WETLAND_OTHER,area,ha,10498.140000012849,10096.5600000122,-401.5800000006493,scenario2_perennialexpand,Other Wetland
RIPARIAN_FOREST_QULO,area,ha,1979.3699999992496,1657.5299999995423,-321.8399999997073,scenario2_perennialexpand,Riparian - Valley Oak
RIPARIAN_FOREST_POFR,area,ha,1714.1399999994908,1591.1099999996027,-123.0299999998881,scenario2_perennialexpand,Riparian - Cottonwood
RIPARIAN_SCRUB_SALIX,area,ha,2062.3499999992105,1964.9699999992627,-97.37999999994781,scenario2_perennialexpand,Riparian - Willow Shrub
RIPARIAN_FOREST_MIXED,area,ha,594.9899999999667,537.2099999999463,-57.780000000020436,scenario2_perennialexpand,Riparian - Mixed Forest
RIPARIAN_FOREST_SALIX,area,ha,972.0000000001,919.8900000000816,-52.11000000001843,scenario2_perennialexpand,Riparian - Willow
RIPARIAN_SCRUB_INTRO,area,ha,916.7400000000805,868.2300000000633,-48.51000000001716,scenario2_perennialexpand,Riparian - Introduced Scrub
WETLAND_TIDAL,area,ha,3558.87000000163,3548.7000000016137,-10.170000000016444,scenario2_perennialexpand,Tidal Wetland
WETLAND_MANAGED_PERENNIAL,area,ha,939.6000000000886,935.3700000000871,-4.230000000001496,scenario2_perennialexpand,Managed Wetland - Perennial
BARREN,area,ha,190.53000000000594,186.5700000000058,-3.96000000000015,scenario2_perennialexpand,Barren
RIPARIAN_SCRUB_MIXED,area,ha,114.75000000000308,112.590000000003,-2.160000000000082,scenario2_perennialexpand,Riparian - Mixed Shrub
WETLAND_MANAGED_SEASONAL,area,ha,5069.520000004072,5069.250000004072,-0.27000000000043656,scenario2_perennialexpand,Managed Wetland - Seasonal
RICE,area,ha,2679.930000000209,2679.930000000209,0,scenario2_perennialexpand,Rice
URBAN,area,ha,36784.52999989299,36784.52999989299,0,scenario2_perennialexpand,Urban
WATER,area,ha,26771.40000003916,26771.40000003916,0,scenario2_perennialexpand,Water
WOODLAND,area,ha,762.660000000026,762.660000000026,0,scenario2_perennialexpand,Woodland
SCRUB,area,ha,240.39000000000783,240.39000000000783,0,scenario2_perennialexpand,Scrub
ORCHARD_CITRUS&SUBTROPICAL,area,ha,643.769999999984,814.9500000000445,171.18000000006055,scenario2_perennialexpand,Orchard - Citrus & Subtropical
VINEYARD,area,ha,16304.940000022238,22735.800000032636,6430.860000010398,scenario2_perennialexpand,Vineyard
ORCHARD_DECIDUOUS,area,ha,15788.070000021402,25475.940000037066,9687.870000015664,scenario2_perennialexpand,Orchard - Deciduous Fruits & Nuts
RIPARIAN,NA,ha,8354.339999998101,12343.410000002843,3989.0700000047427,scenario1_restoration,Riparian
WETLAND_MANAGED,NA,ha,6009.120000004161,9753.12000000752,3744.00000000336,scenario1_restoration,Managed Wetland
RIPARIAN,NA,ha,8354.339999998101,7651.529999998502,-702.8099999995993,scenario2_perennialexpand,Riparian
WETLAND_MANAGED,NA,ha,6009.120000004161,6004.620000004159,-4.500000000001933,scenario2_perennialexpand,Managed Wetland
