scenario,county,CODE_NAME,area,area_unit
baseline,Contra Costa & Alameda,ORCHARD_DECIDUOUS,1211.2200481295586,ha
baseline,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,5.850000232458115,ha
baseline,Contra Costa & Alameda,VINEYARD,752.4000298976898,ha
baseline,Contra Costa & Alameda,GRAIN&HAY_WHEAT,1102.230043798685,ha
baseline,Contra Costa & Alameda,GRAIN&HAY_OTHER,665.4600264430046,ha
baseline,Contra Costa & Alameda,FIELD_CORN,4278.870170027018,ha
baseline,Contra Costa & Alameda,FIELD_OTHER,522.3600207567215,ha
baseline,Contra Costa & Alameda,ROW,1829.790072709322,ha
baseline,Contra Costa & Alameda,RICE,0,ha
baseline,Contra Costa & Alameda,IDLE,2932.020116508007,ha
baseline,Contra Costa & Alameda,PASTURE_ALFALFA,1282.2300509512424,ha
baseline,Contra Costa & Alameda,PASTURE_OTHER,4013.7301594913006,ha
baseline,Contra Costa & Alameda,GRASSLAND,4193.9101666510105,ha
baseline,Contra Costa & Alameda,URBAN,12869.190511375666,ha
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,178.2000070810318,ha
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,25.38000100851059,ha
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,123.3000048995018,ha
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,71.55000284314156,ha
baseline,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,343.98001366853714,ha
baseline,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,389.88001549243927,ha
baseline,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,24.840000987052917,ha
baseline,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,0,ha
baseline,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,0,ha
baseline,Contra Costa & Alameda,WETLAND_TIDAL,763.7400303483009,ha
baseline,Contra Costa & Alameda,WETLAND_OTHER,2119.0500842034817,ha
baseline,Contra Costa & Alameda,WATER,7042.230279833078,ha
baseline,Contra Costa & Alameda,WOODLAND,174.60000693798065,ha
baseline,Contra Costa & Alameda,SCRUB,174.60000693798065,ha
baseline,Contra Costa & Alameda,BARREN,17.01000067591667,ha
baseline,Sacramento,ORCHARD_DECIDUOUS,2755.620109498501,ha
baseline,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,8.010000318288803,ha
baseline,Sacramento,VINEYARD,4879.890193909407,ha
baseline,Sacramento,GRAIN&HAY_WHEAT,1326.4200527071953,ha
baseline,Sacramento,GRAIN&HAY_OTHER,1197.5400475859642,ha
baseline,Sacramento,FIELD_CORN,6886.800273656845,ha
baseline,Sacramento,FIELD_OTHER,1415.160056233406,ha
baseline,Sacramento,ROW,780.0300309956074,ha
baseline,Sacramento,RICE,377.8200150132179,ha
baseline,Sacramento,IDLE,4144.050164669752,ha
baseline,Sacramento,PASTURE_ALFALFA,2372.5800942778587,ha
baseline,Sacramento,PASTURE_OTHER,4359.420173227787,ha
baseline,Sacramento,GRASSLAND,2056.9500817358494,ha
baseline,Sacramento,URBAN,3327.7501322329044,ha
baseline,Sacramento,RIPARIAN_FOREST_POFR,432.7200171947479,ha
baseline,Sacramento,RIPARIAN_FOREST_QULO,853.2900339066982,ha
baseline,Sacramento,RIPARIAN_FOREST_SALIX,227.88000905513763,ha
baseline,Sacramento,RIPARIAN_FOREST_MIXED,188.46000748872757,ha
baseline,Sacramento,RIPARIAN_SCRUB_INTRO,219.24000871181488,ha
baseline,Sacramento,RIPARIAN_SCRUB_SALIX,451.7100179493427,ha
baseline,Sacramento,RIPARIAN_SCRUB_MIXED,31.320001244544983,ha
baseline,Sacramento,WETLAND_MANAGED_PERENNIAL,798.6600317358971,ha
baseline,Sacramento,WETLAND_MANAGED_SEASONAL,717.4800285100937,ha
baseline,Sacramento,WETLAND_TIDAL,1042.2000414133072,ha
baseline,Sacramento,WETLAND_OTHER,1423.0800565481186,ha
baseline,Sacramento,WATER,5684.850225895643,ha
baseline,Sacramento,WOODLAND,168.9300067126751,ha
baseline,Sacramento,SCRUB,4.050000160932541,ha
baseline,Sacramento,BARREN,3.960000157356262,ha
baseline,San Joaquin,ORCHARD_DECIDUOUS,10368.540412008762,ha
baseline,San Joaquin,ORCHARD_CITRUS&SUBTROPICAL,577.7100229561329,ha
baseline,San Joaquin,VINEYARD,5103.810202807188,ha
baseline,San Joaquin,GRAIN&HAY_WHEAT,6184.710245758295,ha
baseline,San Joaquin,GRAIN&HAY_OTHER,2597.400103211403,ha
baseline,San Joaquin,FIELD_CORN,20821.770827382803,ha
baseline,San Joaquin,FIELD_OTHER,2676.600106358528,ha
baseline,San Joaquin,ROW,12461.31049516797,ha
baseline,San Joaquin,RICE,1211.4000481367111,ha
baseline,San Joaquin,IDLE,14213.970564812422,ha
baseline,San Joaquin,PASTURE_ALFALFA,11286.1804484725,ha
baseline,San Joaquin,PASTURE_OTHER,3944.8801567554474,ha
baseline,San Joaquin,GRASSLAND,5516.550219208002,ha
baseline,San Joaquin,URBAN,16702.110663682222,ha
baseline,San Joaquin,RIPARIAN_FOREST_POFR,686.3400272727013,ha
baseline,San Joaquin,RIPARIAN_FOREST_QULO,652.2300259172916,ha
baseline,San Joaquin,RIPARIAN_FOREST_SALIX,391.1400155425072,ha
baseline,San Joaquin,RIPARIAN_FOREST_MIXED,125.46000498533249,ha
baseline,San Joaquin,RIPARIAN_SCRUB_INTRO,192.6000076532364,ha
baseline,San Joaquin,RIPARIAN_SCRUB_SALIX,864.5400343537331,ha
baseline,San Joaquin,RIPARIAN_SCRUB_MIXED,51.9300020635128,ha
baseline,San Joaquin,WETLAND_MANAGED_PERENNIAL,2.9700001180171967,ha
baseline,San Joaquin,WETLAND_MANAGED_SEASONAL,336.78001338243484,ha
baseline,San Joaquin,WETLAND_TIDAL,449.2800178527832,ha
baseline,San Joaquin,WETLAND_OTHER,2920.1401160359383,ha
baseline,San Joaquin,WATER,7714.980306565762,ha
baseline,San Joaquin,WOODLAND,317.5200126171112,ha
baseline,San Joaquin,SCRUB,28.17000111937523,ha
baseline,San Joaquin,BARREN,161.7300064265728,ha
baseline,Solano,ORCHARD_DECIDUOUS,1073.430042654276,ha
baseline,Solano,ORCHARD_CITRUS&SUBTROPICAL,18.990000754594803,ha
baseline,Solano,VINEYARD,706.590028077364,ha
baseline,Solano,GRAIN&HAY_WHEAT,1296.9900515377522,ha
baseline,Solano,GRAIN&HAY_OTHER,1633.9500649273396,ha
baseline,Solano,FIELD_CORN,2421.360096216202,ha
baseline,Solano,FIELD_OTHER,1804.7700717151165,ha
baseline,Solano,ROW,587.5200233459473,ha
baseline,Solano,RICE,0,ha
baseline,Solano,IDLE,2252.9700895249844,ha
baseline,Solano,PASTURE_ALFALFA,3235.1401285529137,ha
baseline,Solano,PASTURE_OTHER,7880.040313124657,ha
baseline,Solano,GRASSLAND,5168.430205374956,ha
baseline,Solano,URBAN,622.1700247228146,ha
baseline,Solano,RIPARIAN_FOREST_POFR,99.81000396609306,ha
baseline,Solano,RIPARIAN_FOREST_QULO,53.730002135038376,ha
baseline,Solano,RIPARIAN_FOREST_SALIX,84.24000334739685,ha
baseline,Solano,RIPARIAN_FOREST_MIXED,103.8600041270256,ha
baseline,Solano,RIPARIAN_SCRUB_INTRO,135.72000539302826,ha
baseline,Solano,RIPARIAN_SCRUB_SALIX,214.29000851511955,ha
baseline,Solano,RIPARIAN_SCRUB_MIXED,1.5300000607967377,ha
baseline,Solano,WETLAND_MANAGED_PERENNIAL,33.48000133037567,ha
baseline,Solano,WETLAND_MANAGED_SEASONAL,790.7400314211845,ha
baseline,Solano,WETLAND_TIDAL,687.5100273191929,ha
baseline,Solano,WETLAND_OTHER,1694.16006731987,ha
baseline,Solano,WATER,4576.950181871653,ha
baseline,Solano,WOODLAND,43.11000171303749,ha
baseline,Solano,SCRUB,33.57000133395195,ha
baseline,Solano,BARREN,7.830000311136246,ha
baseline,Yolo,ORCHARD_DECIDUOUS,378.7200150489807,ha
baseline,Yolo,ORCHARD_CITRUS&SUBTROPICAL,33.210001319646835,ha
baseline,Yolo,VINEYARD,4862.250193208456,ha
