scenario,CODE_NAME,LABEL,area
baseline,BARREN,Barren,190.53
baseline,FIELD_CORN,Corn,34879.409999999996
baseline,FIELD_OTHER,Other Field Crops,8005.679999999999
baseline,GRAIN&HAY_OTHER,Other Grains,7840.44
baseline,GRAIN&HAY_WHEAT,Wheat,11669.58
baseline,GRASSLAND,Grassland,20491.739999999998
baseline,IDLE,Idle,26609.309999999998
baseline,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,643.77
baseline,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,15788.07
baseline,PASTURE_ALFALFA,Alfalfa,19171.62
baseline,PASTURE_OTHER,Other Pasture,24038.1
baseline,RICE,Rice,2679.93
baseline,RIPARIAN,Riparian,8354.34
baseline,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,594.99
baseline,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,1714.1399999999999
baseline,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1979.37
baseline,RIPARIAN_FOREST_SALIX,Riparian - Willow,972
baseline,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,916.74
baseline,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,114.75
baseline,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,2062.35
baseline,ROW,Row Crops,17099.28
baseline,SCRUB,Scrub,240.39
baseline,URBAN,Urban,36784.53
baseline,VINEYARD,Vineyard,16304.939999999999
baseline,WATER,Water,26771.399999999998
baseline,WETLAND_MANAGED,Managed Wetland,6009.119999999999
baseline,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,939.5999999999999
baseline,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,5069.5199999999995
baseline,WETLAND_OTHER,Other Wetland,10498.14
baseline,WETLAND_TIDAL,Tidal Wetland,3558.87
baseline,WOODLAND,Woodland,762.66
baseline_win,BARREN,Barren,190.53
baseline_win,FIELD_CORN,Corn,23370.93
baseline_win,FIELD_OTHER,Other Field Crops,6098.67
baseline_win,GRAIN&HAY_OTHER,Other Grains,18930.51
baseline_win,GRAIN&HAY_WHEAT,Wheat,15359.76
baseline_win,GRASSLAND,Grassland,20491.739999999998
baseline_win,IDLE,Idle,26609.309999999998
baseline_win,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,643.77
baseline_win,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,15788.07
baseline_win,PASTURE_ALFALFA,Alfalfa,19365.12
baseline_win,PASTURE_OTHER,Other Pasture,23807.43
baseline_win,RICE,Rice,2679.93
baseline_win,RIPARIAN,Riparian,8354.34
baseline_win,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,594.99
baseline_win,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,1714.1399999999999
baseline_win,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1979.37
baseline_win,RIPARIAN_FOREST_SALIX,Riparian - Willow,972
baseline_win,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,916.74
baseline_win,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,114.75
baseline_win,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,2062.35
baseline_win,ROW,Row Crops,15771.689999999999
