scenario,ZONE,CODE_NAME,LABEL,area
baseline,Contra Costa & Alameda,BARREN,Barren,17.009999999999998
baseline,Contra Costa & Alameda,FIELD_CORN,Corn,4278.87
baseline,Contra Costa & Alameda,FIELD_OTHER,Other Field Crops,522.36
baseline,Contra Costa & Alameda,GRAIN&HAY_OTHER,Other Grains,665.4599999999999
baseline,Contra Costa & Alameda,GRAIN&HAY_WHEAT,Wheat,1102.23
baseline,Contra Costa & Alameda,GRASSLAND,Grassland,4193.91
baseline,Contra Costa & Alameda,IDLE,Idle,2932.02
baseline,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,5.85
baseline,Contra Costa & Alameda,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1211.22
baseline,Contra Costa & Alameda,PASTURE_ALFALFA,Alfalfa,1282.23
baseline,Contra Costa & Alameda,PASTURE_OTHER,Other Pasture,4013.73
baseline,Contra Costa & Alameda,RICE,Rice,0
baseline,Contra Costa & Alameda,RIPARIAN,Riparian,1157.1299999999999
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,71.55
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,178.2
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,25.38
baseline,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,Riparian - Willow,123.3
baseline,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,343.97999999999996
baseline,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,24.84
baseline,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,389.88
baseline,Contra Costa & Alameda,ROW,Row Crops,1829.79
baseline,Contra Costa & Alameda,SCRUB,Scrub,174.6
baseline,Contra Costa & Alameda,URBAN,Urban,12869.189999999999
baseline,Contra Costa & Alameda,VINEYARD,Vineyard,752.4
baseline,Contra Costa & Alameda,WATER,Water,7042.23
baseline,Contra Costa & Alameda,WETLAND_MANAGED,Managed Wetland,0
baseline,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0
baseline,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,0
baseline,Contra Costa & Alameda,WETLAND_OTHER,Other Wetland,2119.0499999999997
baseline,Contra Costa & Alameda,WETLAND_TIDAL,Tidal Wetland,763.74
baseline,Contra Costa & Alameda,WOODLAND,Woodland,174.6
baseline,Sacramento,BARREN,Barren,3.96
baseline,Sacramento,FIELD_CORN,Corn,6886.8
baseline,Sacramento,FIELD_OTHER,Other Field Crops,1415.1599999999999
baseline,Sacramento,GRAIN&HAY_OTHER,Other Grains,1197.54
baseline,Sacramento,GRAIN&HAY_WHEAT,Wheat,1326.4199999999998
baseline,Sacramento,GRASSLAND,Grassland,2056.95
baseline,Sacramento,IDLE,Idle,4144.05
baseline,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,8.01
baseline,Sacramento,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,2755.62
baseline,Sacramento,PASTURE_ALFALFA,Alfalfa,2372.58
baseline,Sacramento,PASTURE_OTHER,Other Pasture,4359.42
baseline,Sacramento,RICE,Rice,377.82
baseline,Sacramento,RIPARIAN,Riparian,2404.62
baseline,Sacramento,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,188.45999999999998
baseline,Sacramento,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,432.71999999999997
baseline,Sacramento,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,853.29
baseline,Sacramento,RIPARIAN_FOREST_SALIX,Riparian - Willow,227.88
baseline,Sacramento,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,219.23999999999998
baseline,Sacramento,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,31.32
baseline,Sacramento,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,451.71
baseline,Sacramento,ROW,Row Crops,780.03
baseline,Sacramento,SCRUB,Scrub,4.05
baseline,Sacramento,URBAN,Urban,3327.75
baseline,Sacramento,VINEYARD,Vineyard,4879.889999999999
baseline,Sacramento,WATER,Water,5684.8499999999995
baseline,Sacramento,WETLAND_MANAGED,Managed Wetland,1516.1399999999999
baseline,Sacramento,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,798.66
baseline,Sacramento,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,717.48
baseline,Sacramento,WETLAND_OTHER,Other Wetland,1423.08
baseline,Sacramento,WETLAND_TIDAL,Tidal Wetland,1042.2
baseline,Sacramento,WOODLAND,Woodland,168.93
baseline,San Joaquin,BARREN,Barren,161.73
baseline,San Joaquin,FIELD_CORN,Corn,20821.77
baseline,San Joaquin,FIELD_OTHER,Other Field Crops,2676.6
baseline,San Joaquin,GRAIN&HAY_OTHER,Other Grains,2597.4
baseline,San Joaquin,GRAIN&HAY_WHEAT,Wheat,6184.71
baseline,San Joaquin,GRASSLAND,Grassland,5516.55
baseline,San Joaquin,IDLE,Idle,14213.97
baseline,San Joaquin,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,577.7099999999999
baseline,San Joaquin,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,10368.539999999999
baseline,San Joaquin,PASTURE_ALFALFA,Alfalfa,11286.18
baseline,San Joaquin,PASTURE_OTHER,Other Pasture,3944.8799999999997
baseline,San Joaquin,RICE,Rice,1211.3999999999999
baseline,San Joaquin,RIPARIAN,Riparian,2964.24
baseline,San Joaquin,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,125.46
baseline,San Joaquin,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,686.3399999999999
baseline,San Joaquin,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,652.23
baseline,San Joaquin,RIPARIAN_FOREST_SALIX,Riparian - Willow,391.14
baseline,San Joaquin,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,192.6
baseline,San Joaquin,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,51.93
baseline,San Joaquin,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,864.54
baseline,San Joaquin,ROW,Row Crops,12461.31
baseline,San Joaquin,SCRUB,Scrub,28.169999999999998
baseline,San Joaquin,URBAN,Urban,16702.11
baseline,San Joaquin,VINEYARD,Vineyard,5103.8099999999995
baseline,San Joaquin,WATER,Water,7714.98
baseline,San Joaquin,WETLAND_MANAGED,Managed Wetland,339.75
baseline,San Joaquin,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,2.9699999999999998
baseline,San Joaquin,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,336.78
baseline,San Joaquin,WETLAND_OTHER,Other Wetland,2920.14
baseline,San Joaquin,WETLAND_TIDAL,Tidal Wetland,449.28
baseline,San Joaquin,WOODLAND,Woodland,317.52
baseline,Solano,BARREN,Barren,7.83
baseline,Solano,FIELD_CORN,Corn,2421.36
baseline,Solano,FIELD_OTHER,Other Field Crops,1804.77
baseline,Solano,GRAIN&HAY_OTHER,Other Grains,1633.95
baseline,Solano,GRAIN&HAY_WHEAT,Wheat,1296.99
baseline,Solano,GRASSLAND,Grassland,5168.429999999999
baseline,Solano,IDLE,Idle,2252.97
baseline,Solano,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,18.99
baseline,Solano,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1073.43
baseline,Solano,PASTURE_ALFALFA,Alfalfa,3235.14
baseline,Solano,PASTURE_OTHER,Other Pasture,7880.04
baseline,Solano,RICE,Rice,0
baseline,Solano,RIPARIAN,Riparian,693.18
baseline,Solano,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,103.86
baseline,Solano,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,99.81
baseline,Solano,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,53.73
baseline,Solano,RIPARIAN_FOREST_SALIX,Riparian - Willow,84.24
baseline,Solano,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,135.72
baseline,Solano,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,1.53
baseline,Solano,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,214.29
baseline,Solano,ROW,Row Crops,587.52
baseline,Solano,SCRUB,Scrub,33.57
baseline,Solano,URBAN,Urban,622.17
baseline,Solano,VINEYARD,Vineyard,706.5899999999999
baseline,Solano,WATER,Water,4576.95
baseline,Solano,WETLAND_MANAGED,Managed Wetland,824.22
baseline,Solano,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,33.48
baseline,Solano,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,790.74
baseline,Solano,WETLAND_OTHER,Other Wetland,1694.1599999999999
baseline,Solano,WETLAND_TIDAL,Tidal Wetland,687.51
baseline,Solano,WOODLAND,Woodland,43.11
baseline,Yolo,BARREN,Barren,0
baseline,Yolo,FIELD_CORN,Corn,470.60999999999996
baseline,Yolo,FIELD_OTHER,Other Field Crops,1586.79
baseline,Yolo,GRAIN&HAY_OTHER,Other Grains,1746.09
baseline,Yolo,GRAIN&HAY_WHEAT,Wheat,1759.23
baseline,Yolo,GRASSLAND,Grassland,3555.9
baseline,Yolo,IDLE,Idle,3066.2999999999997
baseline,Yolo,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,33.21
baseline,Yolo,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,378.71999999999997
baseline,Yolo,PASTURE_ALFALFA,Alfalfa,995.49
baseline,Yolo,PASTURE_OTHER,Other Pasture,3840.0299999999997
baseline,Yolo,RICE,Rice,1090.71
baseline,Yolo,RIPARIAN,Riparian,1135.17
baseline,Yolo,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,105.66
baseline,Yolo,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,317.07
baseline,Yolo,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,394.74
baseline,Yolo,RIPARIAN_FOREST_SALIX,Riparian - Willow,145.44
baseline,Yolo,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,25.2
baseline,Yolo,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,5.13
baseline,Yolo,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,141.93
baseline,Yolo,ROW,Row Crops,1440.6299999999999
baseline,Yolo,SCRUB,Scrub,0
baseline,Yolo,URBAN,Urban,3263.31
baseline,Yolo,VINEYARD,Vineyard,4862.25
baseline,Yolo,WATER,Water,1752.12
baseline,Yolo,WETLAND_MANAGED,Managed Wetland,3329.0099999999998
baseline,Yolo,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,104.49
baseline,Yolo,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,3224.52
baseline,Yolo,WETLAND_OTHER,Other Wetland,2341.71
baseline,Yolo,WETLAND_TIDAL,Tidal Wetland,616.14
baseline,Yolo,WOODLAND,Woodland,58.5
baseline_win,Contra Costa & Alameda,BARREN,Barren,17.009999999999998
baseline_win,Contra Costa & Alameda,FIELD_CORN,Corn,3801.87
baseline_win,Contra Costa & Alameda,FIELD_OTHER,Other Field Crops,490.68
baseline_win,Contra Costa & Alameda,GRAIN&HAY_OTHER,Other Grains,1217.61
baseline_win,Contra Costa & Alameda,GRAIN&HAY_WHEAT,Wheat,1137.96
baseline_win,Contra Costa & Alameda,GRASSLAND,Grassland,4193.91
baseline_win,Contra Costa & Alameda,IDLE,Idle,2932.02
baseline_win,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,5.85
baseline_win,Contra Costa & Alameda,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1211.22
baseline_win,Contra Costa & Alameda,PASTURE_ALFALFA,Alfalfa,1270.8899999999999
baseline_win,Contra Costa & Alameda,PASTURE_OTHER,Other Pasture,3995.8199999999997
baseline_win,Contra Costa & Alameda,RICE,Rice,0
baseline_win,Contra Costa & Alameda,RIPARIAN,Riparian,1157.1299999999999
baseline_win,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,71.55
baseline_win,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,178.2
baseline_win,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,25.38
baseline_win,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,Riparian - Willow,123.3
baseline_win,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,343.97999999999996
baseline_win,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,24.84
baseline_win,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,389.88
baseline_win,Contra Costa & Alameda,ROW,Row Crops,1779.84
baseline_win,Contra Costa & Alameda,SCRUB,Scrub,174.6
baseline_win,Contra Costa & Alameda,URBAN,Urban,12869.189999999999
baseline_win,Contra Costa & Alameda,VINEYARD,Vineyard,752.4
baseline_win,Contra Costa & Alameda,WATER,Water,7042.23
baseline_win,Contra Costa & Alameda,WETLAND_MANAGED,Managed Wetland,0
baseline_win,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0
baseline_win,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,0
baseline_win,Contra Costa & Alameda,WETLAND_OTHER,Other Wetland,2119.0499999999997
baseline_win,Contra Costa & Alameda,WETLAND_TIDAL,Tidal Wetland,763.74
baseline_win,Contra Costa & Alameda,WOODLAND,Woodland,174.6
baseline_win,Sacramento,BARREN,Barren,3.96
baseline_win,Sacramento,FIELD_CORN,Corn,5009.67
baseline_win,Sacramento,FIELD_OTHER,Other Field Crops,920.52
baseline_win,Sacramento,GRAIN&HAY_OTHER,Other Grains,3592.5299999999997
baseline_win,Sacramento,GRAIN&HAY_WHEAT,Wheat,1381.86
baseline_win,Sacramento,GRASSLAND,Grassland,2056.95
baseline_win,Sacramento,IDLE,Idle,4144.05
baseline_win,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,8.01
baseline_win,Sacramento,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,2755.62
baseline_win,Sacramento,PASTURE_ALFALFA,Alfalfa,2349.36
baseline_win,Sacramento,PASTURE_OTHER,Other Pasture,4318.11
baseline_win,Sacramento,RICE,Rice,377.82
baseline_win,Sacramento,RIPARIAN,Riparian,2404.62
baseline_win,Sacramento,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,188.45999999999998
baseline_win,Sacramento,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,432.71999999999997
baseline_win,Sacramento,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,853.29
baseline_win,Sacramento,RIPARIAN_FOREST_SALIX,Riparian - Willow,227.88
baseline_win,Sacramento,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,219.23999999999998
baseline_win,Sacramento,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,31.32
baseline_win,Sacramento,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,451.71
baseline_win,Sacramento,ROW,Row Crops,765.9
baseline_win,Sacramento,SCRUB,Scrub,4.05
baseline_win,Sacramento,URBAN,Urban,3327.75
baseline_win,Sacramento,VINEYARD,Vineyard,4879.889999999999
baseline_win,Sacramento,WATER,Water,5684.8499999999995
baseline_win,Sacramento,WETLAND_MANAGED,Managed Wetland,1516.1399999999999
baseline_win,Sacramento,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,798.66
baseline_win,Sacramento,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,717.48
baseline_win,Sacramento,WETLAND_OTHER,Other Wetland,1423.08
baseline_win,Sacramento,WETLAND_TIDAL,Tidal Wetland,1042.2
baseline_win,Sacramento,WOODLAND,Woodland,168.93
baseline_win,San Joaquin,BARREN,Barren,161.73
baseline_win,San Joaquin,FIELD_CORN,Corn,13318.74
baseline_win,San Joaquin,FIELD_OTHER,Other Field Crops,1532.52
baseline_win,San Joaquin,GRAIN&HAY_OTHER,Other Grains,9377.55
baseline_win,San Joaquin,GRAIN&HAY_WHEAT,Wheat,9094.59
baseline_win,San Joaquin,GRASSLAND,Grassland,5516.55
baseline_win,San Joaquin,IDLE,Idle,14213.97
baseline_win,San Joaquin,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,577.7099999999999
baseline_win,San Joaquin,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,10368.539999999999
baseline_win,San Joaquin,PASTURE_ALFALFA,Alfalfa,11541.42
baseline_win,San Joaquin,PASTURE_OTHER,Other Pasture,3779.64
baseline_win,San Joaquin,RICE,Rice,1211.3999999999999
baseline_win,San Joaquin,RIPARIAN,Riparian,2964.24
baseline_win,San Joaquin,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,125.46
baseline_win,San Joaquin,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,686.3399999999999
baseline_win,San Joaquin,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,652.23
baseline_win,San Joaquin,RIPARIAN_FOREST_SALIX,Riparian - Willow,391.14
baseline_win,San Joaquin,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,192.6
