scenario,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change
scenario1_restoration,BARREN,Barren,177.20999999999998,190.53,-13.320000000000022
scenario1_restoration,FIELD_CORN,Corn,34343.01,34879.409999999996,-536.3999999999942
scenario1_restoration,FIELD_OTHER,Other Field Crops,7551.45,8005.679999999999,-454.22999999999956
scenario1_restoration,GRAIN&HAY_OTHER,Other Grains,7606.62,7840.44,-233.8199999999997
scenario1_restoration,GRAIN&HAY_WHEAT,Wheat,11281.14,11669.58,-388.4400000000005
scenario1_restoration,GRASSLAND,Grassland,19282.32,20491.739999999998,-1209.4199999999983
scenario1_restoration,IDLE,Idle,25538.219999999998,26609.309999999998,-1071.0900000000001
scenario1_restoration,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,643.77,643.77,0
scenario1_restoration,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,15589.08,15788.07,-198.98999999999978
scenario1_restoration,PASTURE_ALFALFA,Alfalfa,18754.829999999998,19171.62,-416.7900000000009
scenario1_restoration,PASTURE_OTHER,Other Pasture,22469.399999999998,24038.1,-1568.7000000000007
scenario1_restoration,RICE,Rice,2211.21,2679.93,-468.7199999999998
scenario1_restoration,RIPARIAN,Riparian,12343.41,8354.34,3989.0699999999997
scenario1_restoration,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,804.78,594.99,209.78999999999996
scenario1_restoration,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,2320.38,1714.1399999999999,606.2400000000002
scenario1_restoration,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,4244.3099999999995,1979.37,2264.9399999999996
scenario1_restoration,RIPARIAN_FOREST_SALIX,Riparian - Willow,1165.68,972,193.68000000000006
scenario1_restoration,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,916.74,916.74,0
scenario1_restoration,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,115.83,114.75,1.0799999999999983
scenario1_restoration,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,2775.69,2062.35,713.3400000000001
scenario1_restoration,ROW,Row Crops,16736.94,17099.28,-362.34000000000015
scenario1_restoration,SCRUB,Scrub,239.13,240.39,-1.259999999999991
scenario1_restoration,URBAN,Urban,36781.29,36784.53,-3.2399999999979627
scenario1_restoration,VINEYARD,Vineyard,16097.67,16304.939999999999,-207.26999999999862
scenario1_restoration,WATER,Water,26771.399999999998,26771.399999999998,0
scenario1_restoration,WETLAND_MANAGED,Managed Wetland,9753.119999999999,6009.119999999999,3744
scenario1_restoration,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,2111.22,939.5999999999999,1171.62
scenario1_restoration,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,7641.9,5069.5199999999995,2572.38
scenario1_restoration,WETLAND_OTHER,Other Wetland,9942.3,10498.14,-555.8400000000001
scenario1_restoration,WETLAND_TIDAL,Tidal Wetland,3558.87,3558.87,0
scenario1_restoration,WOODLAND,Woodland,719.4599999999999,762.66,-43.200000000000045
scenario2_perennialexpand,BARREN,Barren,186.57,190.53,-3.960000000000008
scenario2_perennialexpand,FIELD_CORN,Corn,32429.879999999997,34879.409999999996,-2449.529999999999
scenario2_perennialexpand,FIELD_OTHER,Other Field Crops,7253.639999999999,8005.679999999999,-752.04
scenario2_perennialexpand,GRAIN&HAY_OTHER,Other Grains,7168.7699999999995,7840.44,-671.6700000000001
scenario2_perennialexpand,GRAIN&HAY_WHEAT,Wheat,10362.96,11669.58,-1306.6200000000008
scenario2_perennialexpand,GRASSLAND,Grassland,19682.73,20491.739999999998,-809.0099999999984
scenario2_perennialexpand,IDLE,Idle,23081.85,26609.309999999998,-3527.459999999999
scenario2_perennialexpand,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,814.9499999999999,643.77,171.17999999999995
scenario2_perennialexpand,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,25475.94,15788.07,9687.869999999999
scenario2_perennialexpand,PASTURE_ALFALFA,Alfalfa,17636.13,19171.62,-1535.489999999998
scenario2_perennialexpand,PASTURE_OTHER,Other Pasture,22815.899999999998,24038.1,-1222.2000000000007
scenario2_perennialexpand,RICE,Rice,2679.93,2679.93,0
scenario2_perennialexpand,RIPARIAN,Riparian,7651.53,8354.34,-702.8100000000004
scenario2_perennialexpand,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,537.21,594.99,-57.77999999999997
scenario2_perennialexpand,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,1591.11,1714.1399999999999,-123.02999999999997
scenario2_perennialexpand,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1657.53,1979.37,-321.8399999999999
scenario2_perennialexpand,RIPARIAN_FOREST_SALIX,Riparian - Willow,919.89,972,-52.110000000000014
scenario2_perennialexpand,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,868.23,916.74,-48.50999999999999
scenario2_perennialexpand,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,112.58999999999999,114.75,-2.160000000000011
scenario2_perennialexpand,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,1964.97,2062.35,-97.37999999999988
scenario2_perennialexpand,ROW,Row Crops,14206.41,17099.28,-2892.869999999999
scenario2_perennialexpand,SCRUB,Scrub,240.39,240.39,0
scenario2_perennialexpand,URBAN,Urban,36784.53,36784.53,0
scenario2_perennialexpand,VINEYARD,Vineyard,22735.8,16304.939999999999,6430.860000000001
scenario2_perennialexpand,WATER,Water,26771.399999999998,26771.399999999998,0
scenario2_perennialexpand,WETLAND_MANAGED,Managed Wetland,6004.62,6009.119999999999,-4.4999999999990905
scenario2_perennialexpand,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,935.37,939.5999999999999,-4.2299999999999045
scenario2_perennialexpand,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,5069.25,5069.5199999999995,-0.26999999999952706
scenario2_perennialexpand,WETLAND_OTHER,Other Wetland,10096.56,10498.14,-401.5799999999999
scenario2_perennialexpand,WETLAND_TIDAL,Tidal Wetland,3548.7,3558.87,-10.170000000000073
scenario2_perennialexpand,WOODLAND,Woodland,762.66,762.66,0
scenario2_perennialexpand_alt,BARREN,Barren,187.2,190.53,-3.3300000000000125
scenario2_perennialexpand_alt,FIELD_CORN,Corn,32474.789999999997,34879.409999999996,-2404.619999999999
scenario2_perennialexpand_alt,FIELD_OTHER,Other Field Crops,7265.25,8005.679999999999,-740.4299999999994
scenario2_perennialexpand_alt,GRAIN&HAY_OTHER,Other Grains,7188.389999999999,7840.44,-652.0500000000002
scenario2_perennialexpand_alt,GRAIN&HAY_WHEAT,Wheat,10371.69,11669.58,-1297.8899999999994
scenario2_perennialexpand_alt,GRASSLAND,Grassland,19715.04,20491.739999999998,-776.6999999999971
scenario2_perennialexpand_alt,IDLE,Idle,23136.57,26609.309999999998,-3472.739999999998
scenario2_perennialexpand_alt,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,1231.83,643.77,588.06
scenario2_perennialexpand_alt,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,24010.92,15788.07,8222.849999999999
scenario2_perennialexpand_alt,PASTURE_ALFALFA,Alfalfa,17662.14,19171.62,-1509.4799999999996
scenario2_perennialexpand_alt,PASTURE_OTHER,Other Pasture,22830.03,24038.1,-1208.0699999999997
scenario2_perennialexpand_alt,RICE,Rice,2591.19,2679.93,-88.73999999999978
scenario2_perennialexpand_alt,RIPARIAN,Riparian,7651.53,8354.34,-702.8100000000004
scenario2_perennialexpand_alt,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,537.21,594.99,-57.77999999999997
scenario2_perennialexpand_alt,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,1591.11,1714.1399999999999,-123.02999999999997
scenario2_perennialexpand_alt,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1657.53,1979.37,-321.8399999999999
scenario2_perennialexpand_alt,RIPARIAN_FOREST_SALIX,Riparian - Willow,919.89,972,-52.110000000000014
scenario2_perennialexpand_alt,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,868.23,916.74,-48.50999999999999
scenario2_perennialexpand_alt,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,112.58999999999999,114.75,-2.160000000000011
scenario2_perennialexpand_alt,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,1964.97,2062.35,-97.37999999999988
scenario2_perennialexpand_alt,ROW,Row Crops,14219.73,17099.28,-2879.5499999999993
scenario2_perennialexpand_alt,SCRUB,Scrub,236.16,240.39,-4.22999999999999
scenario2_perennialexpand_alt,URBAN,Urban,36784.53,36784.53,0
scenario2_perennialexpand_alt,VINEYARD,Vineyard,23707.62,16304.939999999999,7402.68
scenario2_perennialexpand_alt,WATER,Water,26771.399999999998,26771.399999999998,0
