scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario1_restoration,Contra Costa & Alameda,BARREN,Barren,17.009999999999998,17.009999999999998,0,0,0
scenario1_restoration,Contra Costa & Alameda,FIELD_CORN,Corn,4278.87,4278.87,0,0,0
scenario1_restoration,Contra Costa & Alameda,FIELD_OTHER,Other Field Crops,522.36,522.36,0,0,0
scenario1_restoration,Contra Costa & Alameda,GRAIN&HAY_OTHER,Other Grains,665.4599999999999,665.4599999999999,0,0,0
scenario1_restoration,Contra Costa & Alameda,GRAIN&HAY_WHEAT,Wheat,1102.23,1102.23,0,0,0
scenario1_restoration,Contra Costa & Alameda,GRASSLAND,Grassland,4192.11,4193.91,-1.800000000000182,-4.291937595227799e-4,-0.042919375952277995
scenario1_restoration,Contra Costa & Alameda,IDLE,Idle,2930.7599999999998,2932.02,-1.2600000000002183,-4.297378599055321e-4,-0.04297378599055321
scenario1_restoration,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,5.85,5.85,0,0,0
scenario1_restoration,Contra Costa & Alameda,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1211.22,1211.22,0,0,0
scenario1_restoration,Contra Costa & Alameda,PASTURE_ALFALFA,Alfalfa,1282.23,1282.23,0,0,0
scenario1_restoration,Contra Costa & Alameda,PASTURE_OTHER,Other Pasture,3991.3199999999997,4013.73,-22.41000000000031,-0.005583335201919489,-0.5583335201919489
scenario1_restoration,Contra Costa & Alameda,RICE,Rice,0,0,0,NA,NA
scenario1_restoration,Contra Costa & Alameda,RIPARIAN,Riparian,1158.75,1157.1299999999999,1.6200000000001182,0.0014000155557284994,0.14000155557284993
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,71.55,71.55,0,0,0
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,179.01,178.2,0.8100000000000023,0.004545454545454558,0.4545454545454558
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,25.65,25.38,0.2699999999999996,0.01063829787234041,1.063829787234041
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,Riparian - Willow,123.3,123.3,0,0,0
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,343.97999999999996,343.97999999999996,0,0,0
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,24.84,24.84,0,0,0
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,390.41999999999996,389.88,0.5399999999999636,0.0013850415512464442,0.13850415512464442
scenario1_restoration,Contra Costa & Alameda,ROW,Row Crops,1829.79,1829.79,0,0,0
scenario1_restoration,Contra Costa & Alameda,SCRUB,Scrub,174.6,174.6,0,0,0
