landscape,predictor,mean,min,max
baseline,AG_2000,0.2664245067538914,0,0.934626579284668
baseline,AG_50,0.2664202242883741,0,1
baseline,GRASSPAS_2000,0.21572110736211839,0,0.9887728095054626
baseline,GRASSPAS_50,0.21346716963092224,0,1
baseline,IDLE_2000,0.0899019655646066,0,0.44276273250579834
baseline,IDLE_50,0.0891831986327814,0,1
baseline,INTROSCRUB_2000,0.0029395542030478334,0,0.09045690298080444
baseline,INTROSCRUB_50,0.0030631044613055026,0,1
baseline,MIXEDFOREST_2000,0.001987118585514803,0,0.0416400209069252
baseline,MIXEDFOREST_50,0.001991019060797694,0,1
baseline,MIXEDSHRUB_2000,3.756352800990879e-4,0,0.013714204542338848
baseline,MIXEDSHRUB_50,3.8479346429419513e-4,0,1
baseline,ORCHVIN_2000,0.10978702716733114,0,0.8814751505851746
baseline,ORCHVIN_50,0.1097149972702506,0,1
baseline,PERM_2000,0.003068655060308515,0,0.33439919352531433
baseline,PERM_50,0.003148925989477982,0,1
baseline,POFR_2000,0.005510378713315328,0,0.1552618443965912
baseline,POFR_50,0.005727030650355324,0,1
baseline,QULO_2000,0.006646241568751417,0,0.18190862238407135
baseline,QULO_50,0.0066335516160063324,0,1
baseline,RICE_2000,0.009229574007981517,0,0.5662616491317749
baseline,RICE_50,0.00898574506644356,0,1
baseline,RIPARIAN_2000,0.027407375520558084,0,0.4463156461715698
baseline,RIPARIAN_50,0.02794765245949417,0,1
baseline,SALIX_2000,0.003143621828438882,0,0.09472038596868515
baseline,SALIX_50,0.0032433785142890405,0,1
baseline,SALIXSHRUB_2000,0.0067981687198078585,0,0.07333191484212875
baseline,SALIXSHRUB_50,0.00690433392293491,0,1
baseline,URBAN_2000,0.12336165148432035,0,0.9950969815254211
baseline,URBAN_50,0.12334162741709151,0,1
baseline,WATER_2000,0.08798318835598348,0,0.9748454689979553
baseline,WATER_50,0.08969441550665183,0,1
baseline,WETLAND_2000,0.06634011570590471,0,0.7782278060913086
baseline,WETLAND_50,0.06725848592725187,0,1
scenario1,AG_2000,0.25992784285824616,0,0.934626579284668
scenario1,AG_50,0.2598016840251826,0,1
scenario1,GRASSPAS_2000,0.20530117369047332,0,0.9887728095054626
