scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,SCORE_TOTAL,UNIT
baseline,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,5085.179999999999,ha
baseline,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,4032.81,ha
baseline,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,58445.189999999995,ha
baseline,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,39772.08,ha
baseline,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,1824.48,ha
baseline,Biodiversity Support,Riparian landbird habitat,Song Sparrow,180333.53999999998,ha
baseline,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,15827.13,ha
baseline,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,837.27,ha
baseline,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,8178.57,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,9063.18,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,7484.67,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,63267.479999999996,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,39835.71,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,5352.03,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Song Sparrow,181050.75,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,22205.16,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,851.4,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,9139.59,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,4379.22,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,3585.42,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,55728.09,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,39600.99,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,1337.6699999999998,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Song Sparrow,174469.77,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,17105.76,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,798.5699999999999,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,8456.13,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,8961.84,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,7417.53,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,60569.729999999996,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,39759.479999999996,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,4807.62,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Song Sparrow,176999.49,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,25613.64,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,822.78,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,10030.41,ha
baseline,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),18866.61,ha
baseline,Biodiversity Support,Waterbird habitat,Cranes (fall),4921.47,ha
baseline,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),8602.92,ha
baseline,Biodiversity Support,Waterbird habitat,Geese (fall),3321.18,ha
baseline,Biodiversity Support,Waterbird habitat,Shorebirds (fall),15871.41,ha
scenario1_restoration,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),22864.77,ha
scenario1_restoration,Biodiversity Support,Waterbird habitat,Cranes (fall),5064.12,ha
scenario1_restoration,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),12397.949999999999,ha
scenario1_restoration,Biodiversity Support,Waterbird habitat,Geese (fall),3907.7999999999997,ha
scenario1_restoration,Biodiversity Support,Waterbird habitat,Shorebirds (fall),19196.1,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),18091.71,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird habitat,Cranes (fall),5380.92,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),8200.71,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird habitat,Geese (fall),4883.94,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird habitat,Shorebirds (fall),15292.349999999999,ha
scenario3_combo,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),21956.489999999998,ha
scenario3_combo,Biodiversity Support,Waterbird habitat,Cranes (fall),5563.08,ha
scenario3_combo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),11794.05,ha
scenario3_combo,Biodiversity Support,Waterbird habitat,Geese (fall),6672.24,ha
scenario3_combo,Biodiversity Support,Waterbird habitat,Shorebirds (fall),18673.649999999998,ha
baseline_win,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),38090.159999999996,ha
baseline_win,Biodiversity Support,Waterbird habitat,Cranes (winter),15093.539999999999,ha
baseline_win,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),26160.57,ha
baseline_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),9211.859999999999,ha
baseline_win,Biodiversity Support,Waterbird habitat,Geese (winter),18400.41,ha
baseline_win,Biodiversity Support,Waterbird habitat,Shorebirds (winter),22959.54,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),43031.34,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Cranes (winter),14301.81,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),29608.559999999998,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),11770.199999999999,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Geese (winter),18775.17,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Shorebirds (winter),25778.969999999998,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),40373.549999999996,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Cranes (winter),13773.6,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),25447.23,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),9182.43,ha
