scenario,spp,METRIC_SUBTYPE,METRIC,n,value
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,1,73705
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,1,47388
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,1,694754
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,1,12974
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,1,18333
baseline,SOSP,Riparian landbird habitat,Song Sparrow,1,1551184
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,1,694448
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,1,524
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,1,129387
baseline,TOTAL,Riparian landbird habitat,Total,1,2244466
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,1,117770
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,1,91173
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,1,738990
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,1,15268
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,1,52365
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,1,1573843
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,1,810392
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,1,1398
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,1,148441
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,1,2326945
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,1,63398
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,1,45049
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,1,645484
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,1,11192
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,1,11584
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,1,1483891
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,1,843110
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,1,479
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,1,130094
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,1,2267111
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,1,116045
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,1,92874
