scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,7855.555555555556
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,191088.8888888889
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,325022.22222222225
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,12644.444444444445
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,91155.55555555556
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,28366.666666666668
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,262111.11111111112
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,153766.6666666667
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,25244.444444444445
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,28355.55555555556
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1434311.1111111112
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1538066.6666666667
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1440900
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1685622.2222222222
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1116522.2222222222
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,1198200
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,250800
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,2299033.3333333335
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,633544.4444444445
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,528488.8888888889
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,1011.1111111111112
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,47088.88888888889
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,151944.44444444444
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,11.11111111111111
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,25188.88888888889
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,4111677.777777778
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,3905933.3333333335
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,11612466.666666668
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,2013555.5555555557
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,619733.3333333334
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,96200
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,805544.4444444445
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,547711.1111111111
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,46866.66666666667
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,457611.1111111111
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,22777.777777777777
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,10466.666666666668
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,54944.444444444445
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,14522.222222222223
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,655.5555555555555
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,156844.44444444444
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,193700
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,270144.44444444444
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,147088.8888888889
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,241888.8888888889
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,7711.111111111111
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,240555.55555555556
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,642177.7777777778
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,16066.666666666668
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,ha,212366.6666666667
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,14000
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,368588.8888888889
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,447455.55555555556
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,33133.333333333336
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,60822.222222222226
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1436355.5555555555
